MAID_LueurWearM	神龍之子便服
MAID_H_LueurWearM	神龍之子專用的便服。\n如量身訂做般非常合身，不知是何時縫製好的。
MAID_LueurWearF	神龍之女便服
MAID_H_LueurWearF	神龍之女專用的便服。\n如量身訂做般非常合身，不知是何時縫製好的。
MAID_VandrWear	守護者正裝
MAID_H_VandrWear	第三十二代龍之守護者──凡德雷的便服。\n為守護者的正式服裝，他本人有好幾套一模一樣的禮服可替換。
MAID_FramWear	薄紅守護者服裝
MAID_H_FramWear	第三十三代龍之守護者──芙嵐的便服。\n為繼任守護者的服裝，上衣可存放緊急糧食及不為人知的神龍大人相關筆記。
MAID_ClanWear	若綠守護者服裝
MAID_H_ClanWear	第三十三代龍之守護者──柯嵐的便服。\n為繼任守護者的服裝，上衣可存放緊急糧食及不為人知的神龍大人周邊商品。
MAID_AlfredWear	花冠王子服裝
MAID_H_AlfredWear	費列聶王國王子──阿爾弗雷德的便服。\n胸前別著故鄉費列聶的鮮花，穿起來比想像中輕便靈活。
MAID_BoucheronWear	強韌襯衫
MAID_H_BoucheronWear	阿爾弗雷德臣子──布修隆的便服。\n雖然襯衫扣子都快繃開了，但布修隆對這套衣服的喜愛始終不變。
MAID_EtieWear	花田褶邊衣裝
MAID_H_EtieWear	阿爾弗雷德臣子──艾媞耶的便服。\n袖子與裙子帶有荷葉邊，下襬花紋和戰鬥服裙子上的相同。
MAID_CelineWear	茶會公主服裝
MAID_H_CelineWear	費列聶王國公主──錫莉奴的便服。\n典雅的蕾絲和蝴蝶結可讓人優雅度過午茶時間。項鍊上的寶石是蜂蜜紅茶的顏色。
MAID_LouisWear	騎士背心
MAID_H_LouisWear	錫莉奴家臣──路易的便服。\n剪裁與設計著重功能性，袖子可迅速捲起以隨時因應差事。
MAID_ChloeWear	天馬裙子
MAID_H_ChloeWear	錫莉奴家臣──克蘿艾的便服。\n克蘿艾逛小吃攤時總會穿這套衣服，但他吃相優雅，從未弄髒過它。
MAID_DiamandWear	火焰王子服裝
MAID_H_DiamandWear	布羅帝亞王國王子──帝亞曼德的便服。\n設計強調輕便，以耐高溫且不易損壞的堅韌材質縫製而成。
MAID_UmberWear	羊駝拉鍊夾克
MAID_H_UmberWear	帝亞曼德家臣──安巴的便服。\n背後與左胸的可愛刺繡，是以安巴故鄉的羊駝為藍本繡上去的。
MAID_JadeWear	鐵壁執筆服裝
MAID_H_JadeWear	帝亞曼德家臣──潔德的便服。\n皮帶可端正寫作時的姿勢。非常方便活動，很適合穿去散步尋找靈感。
MAID_StalukeWear	燐火王子服裝
MAID_H_StalukeWear	布羅帝亞王國王子──史塔盧克的便服。\n和帝亞曼德的便服幾乎一模一樣，但史塔盧克覺得即使穿上相同服裝，兩人還是雲泥之別。
MAID_LapisWear	故鄉圍裙
MAID_H_LapisWear	史塔盧克家臣──菈琵思的便服。\n由純手工縫製而成，上頭還有精緻的花朵刺繡。長年以來保養得宜。
MAID_CitrinicaWear	絢爛夾克
MAID_H_CitrinicaWear	史塔盧克家臣──希特麗妮卡的便服。\n皮革外套附有高級毛草，腰上的皮帶掛有親王家代代相傳的護身符。
MAID_IvyWear	沉默寡言公主服裝
MAID_H_IvyWear	伊爾席翁王國公主──艾比的便服。\n這套洋裝曾多次改良以求睡衣般的舒適度，做工非常講究，實際上相當保暖。
MAID_ZelkovaWear	闇束帶服裝
MAID_H_ZelkovaWear	艾比家臣──傑爾科巴的便服。\n繫有大量的皮帶似乎是為了保護要害，但真假不得而知。頸部配戴的鑰匙單純只是裝飾品。
MAID_KagetsuWear	飯糰寬鬆褲
MAID_H_KagetsuWear	艾比家臣──花月的便服。\n花月故鄉的主流服飾，繡在寬鬆褲上的飯糰，餡料分別是鱈魚子、鮭魚、酸梅跟柴魚。
MAID_HortensiaWear	可愛公主服裝
MAID_H_HortensiaWear	伊爾席翁王國公主──奧爾坦希亞的便服。\n花紋與點綴的飾品皆特別講究可愛氣質，部分布料與艾比的便服相同。
MAID_RosadoWear	一片裙
MAID_H_RosadoWear	奧爾坦希亞家臣──羅薩德的便服。\n其實本來是父親的舊衣，但羅薩德非常珍惜，把它修改得相當可愛。
MAID_GoldmaryWear	刺繡連身裙
MAID_H_GoldmaryWear	奧爾坦希亞家臣──戈爾德瑪莉的便服。\n戈爾德瑪莉表示：「不好意思，這件服裝低調又清純可愛，把我的美麗突顯得淋漓盡致。」
MAID_MisutiraWear	極彩色公主服裝
MAID_H_MisutiraWear	索爾姆王國公主──蜜絲提拉的便服。\n採用輕薄的布料製成，既涼爽又方便活動。此外還有防火的作用，可安心升火。
MAID_MerinWear	愛狼靴子
MAID_H_MerinWear	蜜絲提拉家臣──玫琳的便服。\n上頭的狼尾只是精緻的仿製品，但玫琳心情好時，尾巴會跟著左右擺動。
MAID_PanetoneWear	哥德式洋裝
MAID_H_PanetoneWear	蜜絲提拉家臣──帕涅托涅的便服。\n原本是件清純的洋裝，但帕涅托涅大鬧後弄破了衣服，只好用七彩繽紛的縫線設法修補。
MAID_FogatoWear	清爽王子服裝
MAID_H_FogatoWear	索爾姆王國王子──佛賈特的便服。\n身分快曝光時，佛賈特就會用圍巾包覆臉部化身旅人。
MAID_PandoroWear	宴會夾克
MAID_H_PandoroWear	佛賈特家臣──龐德羅的便服。\n龐德羅經常穿這套衣服出席宴會，為了能隨時祈禱，身上總是披著簡易的聖帶。
MAID_BonetWear	主廚圍裙
MAID_H_BonetWear	佛賈特家臣──波聶的便服。\n波聶烹飪時所穿的衣服，但上頭沒有沾染任何醬汁，總是飄著一股清香。
MAID_AnnaWear	雪國編織物
MAID_H_AnnaWear	安娜的便服。\n毛茸茸的毛線衣與圍脖穿戴起來非常暖和，在大雪天也很舒適，不會凍僵。
MAID_JeanWear	學徒開襟衫
MAID_H_JeanWear	賈恩的便服。\n左邊的口袋裝著藥草，右邊的口袋收著念書時的筆記，眼鏡則是裝飾用。
MAID_YunakaWear	成人開襟衫
MAID_H_YunakaWear	尤娜卡的便服。\n尤娜卡在鎮上買的普通服飾，搭上一個高級品後，充滿了與眾不同的風格。
MAID_SeadasWear	舞蹈家長禮服
MAID_H_SeadasWear	賽安達斯的便服。\n為了讓自己看起來像占卜師，賽安達斯精心準備了這套服裝，但腹部偶爾會著涼。
MAID_LindenWear	知識長袍
MAID_H_LindenWear	霖丹的便服。\n脖子上閃閃發亮的銀製盒式吊墜，是霖丹寸步不離身的寶貝。
MAID_SaphirWear	漁村老闆娘服裝
MAID_H_SaphirWear	札菲亞的便服。\n札菲亞在切魚時會脫下手套，裙子採用特殊的防水布料製作而成。
MAID_VeyreWear	純白裙子
MAID_H_VeyreWear	貝珥的便服。\n貝珥對衣著很隨興，因此熱衷時尚的夥伴替他挑選了這套服裝。
MAID_MauveWear	虔敬立領服裝
MAID_H_MauveWear	莫布的便服。\n以費列聶的布料製作而成。在莫布的細心呵護下，總是常保如新。
MAID_FileneFormal1	青空配對套裝
MAID_H_FileneFormal1	費列聶貴族的服裝。\n利用大量染料染成了天藍色，象徵賜予百姓恩惠的「豐饒天空」。【男女配對套裝】
MAID_FileneFormal1M	青空背心
MAID_H_FileneFormal1M	費列聶貴族的服裝。背心採用輕薄牢靠的材料製成，穿起來相當舒適。\n天藍色則象徵賜予百姓恩惠的「豐饒天空」。
MAID_FileneFormal1F	青空連身裙
MAID_H_FileneFormal1F	費列聶貴族的服裝。連身裙採用輕薄牢靠的材料製成，非常適合穿去花田散步。\n天藍色則象徵賜予百姓恩惠的「豐饒天空」。
MAID_FileneFormal2	朝霧配對套裝
MAID_H_FileneFormal2	費列聶貴族的服裝。製衣師傅使用了費列聶傳統的染色技巧，\n完美展現出宛如朝霞一般的漸層。【男女配對套裝】
MAID_FileneFormal2M	朝霧背心
MAID_H_FileneFormal2M	費列聶貴族的服裝。製衣師傅使用了費列聶傳統的染色技巧，\n完美展現出宛如朝霞一般的漸層。胸前還裝飾了鮮花。
MAID_FileneFormal2F	朝霧連身裙
MAID_H_FileneFormal2F	費列聶貴族的服裝。製衣師傅使用了費列聶傳統的染色技巧，\n完美展現出宛如朝霞一般的漸層。當地人常穿這套服裝參加慶典。
MAID_FileneFormal3	水面配對套裝
MAID_FileneFormal3M	水面背心
MAID_H_FileneFormal3M	費列聶為表友好所贈送的傳統服裝，上頭美麗的花紋及清透的水藍色帶有\n「願世界風平浪靜」的寓意。接待客人時也能穿著。
MAID_FileneFormal3F	水面連身裙
MAID_H_FileneFormal3F	費列聶為表友好所贈送的傳統服裝，上頭美麗的花紋及清透的水藍色帶有\n「願世界風平浪靜」的寓意，腰帶則象徵「永遠的友誼」。
MAID_FileneCasual1	晴天配對套裝
MAID_H_FileneCasual1	費列聶平民的服裝。費列聶人民自小就有學習裁縫的習俗，\n這套衣服常是他們第一次練習時的樣本。【男女配對套裝】
MAID_FileneCasual1M	晴天背心
MAID_H_FileneCasual1M	費列聶平民的服裝。費列聶人民自小就有學習裁縫的習俗，\n這套衣服常是他們第一次練習時的樣本。據說帽子最難縫製。
MAID_FileneCasual1F	晴天圍裙
MAID_H_FileneCasual1F	費列聶平民的服裝。費列聶人民自小就有學習裁縫的習俗，\n這套衣服常是他們第一次練習時的樣本。胸前的花飾製作很受小朋友喜愛。\n
MAID_FileneCasual2	格紋配對套裝
MAID_H_FileneCasual2	費列聶平民的服裝。\n上頭繡有費列聶流行的圖案，據說從格子就可看出製作者的個性。【男女配對套裝】
MAID_FileneCasual2M	格紋背心
MAID_H_FileneCasual2M	費列聶平民的服裝。雖然這件背心很適合當工作服，但人民更常把它當成便服。\n上頭繡有流行的圖案，據說從格子就可看出製作者的個性。
MAID_FileneCasual2F	格紋圍裙
MAID_H_FileneCasual2F	費列聶平民的服裝。上頭繡的是當地流行的圖案，偶爾也會出現在手帕上。\n據說從格子就可看出製作者的個性。
MAID_FileneCasual3	花紋配對套裝
MAID_FileneCasual3M	花紋背心
MAID_H_FileneCasual3M	費列聶為表友好所贈送的傳統服裝。各個家庭會以祖傳技法繡上花紋，\n而花紋的色彩各自象徵著不同的含意，代表著對珍視之人的「愛」。
MAID_FileneCasual3F	花紋圍裙
MAID_H_FileneCasual3F	費列聶為表友好所贈送的傳統服裝。各個家庭的製作者會以祖傳技法\n繡上自己擅長的花朵造型，代表著對珍視之人的「愛」。
MAID_BrodiaFormal1	辰砂配對套裝
MAID_H_BrodiaFormal1	布羅帝亞貴族的服裝。\n特徵是上等毛皮搭配金線刺繡，原料皆產自金礦第一大國布羅帝亞。【男女配對套裝】
MAID_BrodiaFormal1M	辰砂長禮服
MAID_H_BrodiaFormal1M	布羅帝亞貴族的服裝。特徵是上等毛皮搭配金線刺繡，原料皆產自金礦第一大國布羅帝亞。\n為了方便活動，這件長禮服特地設計得較短。
MAID_BrodiaFormal1F	辰砂夾克
MAID_H_BrodiaFormal1F	布羅帝亞貴族的服裝。特徵是上等毛皮搭配金線刺繡，原料皆產自金礦第一大國布羅帝亞。\n裙子的黑色下襬是用耐髒的布料所製成。
MAID_BrodiaFormal2	黑玉配對套裝
MAID_H_BrodiaFormal2	布羅帝亞貴族的服裝。上頭的圖案有「不屈不撓」的意思。\n當地人常穿這套服裝參加武術大會等活動。【男女配對套裝】
MAID_BrodiaFormal2M	黑玉長禮服
MAID_H_BrodiaFormal2M	布羅帝亞貴族的服裝。上頭的圖案有「不屈不撓」的意思。\n當地人常穿這套服裝參加武術大會等活動。布料厚實，非常保暖。
MAID_BrodiaFormal2F	黑玉夾克
MAID_H_BrodiaFormal2F	布羅帝亞貴族的服裝。上頭的圖案有「不屈不撓」的意思。\n當地人常穿這套服裝參加武術大會等活動。裙子很重，相當考驗下盤功夫。
MAID_BrodiaFormal3	白雲母配對套裝
MAID_BrodiaFormal3M	白雲母長禮服
MAID_H_BrodiaFormal3M	布羅帝亞為表友好所贈送的傳統服裝。白色部分皆為真皮，\n當地人常穿這套服裝出席宴會。上面的圖案則是廠商的品牌標誌。
MAID_BrodiaFormal3F	白雲母夾克
MAID_H_BrodiaFormal3F	布羅帝亞為表友好所贈送的傳統服裝。白色部分皆為真皮，\n當地人常穿這套服裝出席宴會。有的新娘也會訂購白色真皮製成的結婚禮服。
MAID_BrodiaCasual1	洞窟配對套裝
MAID_H_BrodiaCasual1	布羅帝亞平民的服裝。這套衣服非常方便活動，不僅使用好清洗的布料製作，\n還採用低調的配色，不用擔心採礦時弄髒。【男女配對套裝】
MAID_BrodiaCasual1M	洞窟披肩
MAID_H_BrodiaCasual1M	布羅帝亞平民的服裝。這套衣服非常方便活動，不僅使用好清洗的布料製作，\n還採用低調的配色，不用擔心採礦時弄髒。當地人工作時常會拿下毛皮。
MAID_BrodiaCasual1F	洞窟裙子
MAID_H_BrodiaCasual1F	布羅帝亞平民的服裝。這套衣服非常方便活動，不僅使用好清洗的布料製作，\n還採用低調的配色，不用擔心採礦時弄髒。圍脖的漂亮釦子是用動物的犄角磨製而成。
MAID_BrodiaCasual2	荒野配對套裝
MAID_H_BrodiaCasual2	布羅帝亞平民的服裝。圍脖使用了蓬鬆的羊駝毛，\n腳部和下襬的花紋則是各個聚落的傳統圖騰。【男女配對套裝】
MAID_BrodiaCasual2M	荒野披肩
MAID_H_BrodiaCasual2M	布羅帝亞平民的服裝。圍脖使用了蓬鬆的羊駝毛，\n腳部的花紋則是各個聚落的傳統圖騰。以游牧為生的人經常是這身打扮。
MAID_BrodiaCasual2F	荒野裙子
MAID_H_BrodiaCasual2F	布羅帝亞平民的服裝。圍脖使用了蓬鬆的羊駝毛，\n裙子下襬的花紋則是各個聚落的傳統圖騰。鞋子具有防滑效果，可安心在山路上行走。
MAID_BrodiaCasual3	岩壁配對套裝
MAID_BrodiaCasual3M	岩壁披肩
MAID_H_BrodiaCasual3M	布羅帝亞為表友好所贈送的傳統服裝。\n重視舒適度與設計，使用了很多耐穿的堅韌材料。圍脖的毛皮來自棲息在岩地的熊。
MAID_BrodiaCasual3F	岩壁裙子
MAID_H_BrodiaCasual3F	布羅帝亞為表友好所贈送的傳統服裝。\n重視舒適度與設計，使用了很多耐穿的堅韌材料。據說腹部的圖案有驅邪的效果。
MAID_SolumFormal1	太陽配對套裝
MAID_H_SolumFormal1	索爾姆貴族的服裝。採用輕薄透氣的材料製成，\n即便氣候炎熱也能涼爽度日。【男女配對套裝】
MAID_SolumFormal1M	太陽背心
MAID_H_SolumFormal1M	索爾姆貴族的服裝。採用輕薄透氣的材料製成，\n即便氣候炎熱也能涼爽度日。為了讓人能穩穩踩在沙地上，有些微調整長度。
MAID_SolumFormal1F	太陽腰布
MAID_H_SolumFormal1F	索爾姆貴族的服裝。採用輕薄透氣的材料製成，\n即便氣候炎熱也能涼爽度日。當地人在沙漠行走時還會披上長袍遮陽。
MAID_SolumFormal2	破曉配對套裝
