MID_WU_C_1_IN_#001	來到這個世界讓我驚訝的其中一件事，
MID_WU_C_1_IN_#002	就是需要有個人負責叫神龍大人起床。
MID_WU_C_1_SOON_#001	要是你每天都像這樣馬上起床，
MID_WU_C_1_SOON_#002	負責叫你的人應該會輕鬆許多……
MID_WU_C_1_SOON_#003	不過，算了吧。
MID_WU_C_1_SOON_#004	早安。
MID_WU_C_1_WAKEUP_#001	沒醒來呢。
MID_WU_C_1_WAKEUP_#002	你總是這樣子嗎？
MID_WU_C_1_WAKEUP_#003	身為一軍統帥，還這麼愛睡懶覺……
MID_WU_C_1_WAKEUP_#004	我能體會你的人族夥伴有多麼辛苦了。
MID_WU_C_1_HELLO_#001	啊，你起來了啊。
MID_WU_C_1_HELLO_#002	太好了。
MID_WU_C_1_HELLO_#003	話先說在前頭，
MID_WU_C_1_HELLO_#004	我可不准你繼續睡回籠覺喔。
MID_WU_C_2_IN_#001	我比較擅長讓人沉眠……
MID_WU_C_2_SOON_#001	你能這麼快起床真是太好了。
MID_WU_C_2_SOON_#002	既然任務已經達成，我就先告辭了。
MID_WU_C_2_WAKEUP_#001	睡得很沉呢。
MID_WU_C_2_WAKEUP_#002	讓人有種錯覺，以為你會就這樣一睡不起。
MID_WU_C_2_WAKEUP_#003	拉法爾在等待我醒來的時候……
MID_WU_C_2_WAKEUP_#004	也是懷著這樣的心情嗎？
MID_WU_C_2_HELLO_#001	早安。
MID_WU_C_2_HELLO_#002	這種程度的貪睡還算可以接受。
MID_WU_C_2_HELLO_#003	只要趕緊梳洗，
MID_WU_C_2_HELLO_#004	應該能趕上早餐時間吧？
MID_WU_B_1_IN_#001	快起床，神龍大人。
MID_WU_B_1_IN_#002	你還活著嗎……？
MID_WU_B_1_SOON_#001	一有人來你就會馬上醒來呢。
MID_WU_B_1_SOON_#002	你該不會是覺得一個人起床很寂寞吧？
MID_WU_B_1_WAKEUP_#001	以前你為了保護我而受的傷，看來已經癒合了……
MID_WU_B_1_WAKEUP_#002	不過，又有了新的傷口呢。
MID_WU_B_1_WAKEUP_#003	雖然在戰場中，這也是在所難免的事，
MID_WU_B_1_WAKEUP_#004	但我……
MID_WU_B_1_HELLO_#001	你醒了啊。
MID_WU_B_1_HELLO_#002	今天也請你要毫髮無傷地平安回來。
MID_WU_B_1_HELLO_#003	之前說好了要珍惜自己的約定……
MID_WU_B_1_HELLO_#004	你可不能忘記喔。
MID_WU_B_2_IN_#001	真是的……你到底要睡到什麼時候？
MID_WU_B_2_SOON_#001	你馬上就從床上跳起來了呢。
MID_WU_B_2_SOON_#002	很好，看來你還知道自己睡過頭了。
MID_WU_B_2_SOON_#003	我是無所謂，但其他人會擔心你喔。
MID_WU_B_2_WAKEUP_#001	其他人可能會溫柔地叫你起床，
MID_WU_B_2_WAKEUP_#002	但我可不會縱容你喔。
MID_WU_B_2_WAKEUP_#003	快點起床。
MID_WU_B_2_WAKEUP_#004	沒有敵人會乖乖地等你睡飽才打過來。
MID_WU_B_2_HELLO_#001	你終於起床了。
MID_WU_B_2_HELLO_#002	不，我才沒有生氣。
MID_WU_B_2_HELLO_#003	你會覺得我在生氣，
MID_WU_B_2_HELLO_#004	是因為自己睡過頭覺得內疚吧？
MID_WU_A_1_IN_#001	我原本世界裡的神龍大人，
MID_WU_A_1_IN_#002	是不是也被人這樣叫醒過呢……
MID_WU_A_1_SOON_#001	你聽見了嗎？
MID_WU_A_1_SOON_#002	另一個世界的神龍大人，
MID_WU_A_1_SOON_#003	是個凡事都不會假手他人的人……
MID_WU_A_1_SOON_#004	不過，我也不討厭現在這樣的時光。
MID_WU_A_1_WAKEUP_#001	我偶爾還是會想起過去的事……
MID_WU_A_1_WAKEUP_#002	不過，現在我想守護的人……
MID_WU_A_1_WAKEUP_#003	是眼前的你。
MID_WU_A_1_WAKEUP_#004	請你今天也要平安無事……
MID_WU_A_1_HELLO_#001	你聽見我剛才說的話了嗎？
