MID_WU_C_1_IN_#001	由我來叫您起床真是失禮了……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	啊，我吵醒您了？\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	還是我令您厭煩呢？\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	總之我這就離開，對不起！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	我真的能進入這樣的聖地嗎……？\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	但這是交代給我的工作，我不能退縮……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	那個，神龍大人……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	早、早安！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	擾了您的美夢，您一定很不愉快吧，對不起……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	我這就盡我最快的速度離開……！\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	打擾了……我是布羅帝亞王國……\n名字不叫帝亞曼德的那位王子。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	啊，太好了。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	要是連個工作都做不好，我就真的是個沒用的王子了。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	謝謝您起床。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	哇……真漂亮。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	神龍大人的睡姿和睡臉都好美。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	唔……和神龍大人相比……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	我不僅睡相差，還會說夢話，真是自覺形穢……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	那個……神龍大人的睡姿好美呢。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	……啊，是不是讓您感到不舒服了？\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	我為我的言行致上十二萬分的歉意！\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	打、打擾了……\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	是我……「最不想被他叫醒的王子」第一名。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	啊……謝謝您……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	因為我的聲音醒來。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	明天一定會由更優秀的人來叫您起床……！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	神龍大人睡得這麼香……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	讓人好不忍心叫醒他啊……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	我明明是想要守護這張睡臉的……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	卻肩負著打破美夢的使命……！\x0E\x04\x00\x00
