MID_ACHIEVE_RELIANCE_FIRST	觸發了與\x0E\x01\x00\x00的支援對話。
MID_ACHIEVE_RELIANCE_B_FIRST	首次觀看等級B的支援對話。
MID_ACHIEVE_RELIANCE_B_COUNT	觀看了\x0E\x01\x00\x00名夥伴等級B的支援對話。
MID_ACHIEVE_RELIANCE_A_FIRST	首次觀看等級A的支援對話。
MID_ACHIEVE_RELIANCE_A_COUNT	觀看了\x0E\x01\x00\x00名夥伴等級A的支援對話。
MID_ACHIEVE_RELIANCE_ENGAGE	觀看了支援對話\x0E\x08\x02\x1A\x18RelianceRing。
MID_ACHIEVE_PLAY_TIME	遊玩了\x0E\x01\x00\x00小時。
MID_ACHIEVE_CHAPTER_CLEAR	已完成\x0E\x01\x00\x00「\x0E\x01\x01\x00」。
MID_ACHIEVE_ENCOUNT_BATTLE_FIRST	首次觸發遭遇戰。
MID_ACHIEVE_ENCOUNT_BATTLE_COUNT	觸發了\x0E\x01\x00\x00次遭遇戰。
MID_ACHIEVE_BATTLE_COUNT	觸發了\x0E\x01\x00\x00次戰鬥。
MID_ACHIEVE_SOLDIER_DEFEAT_FIRST	首次擊敗一般士兵。
MID_ACHIEVE_SOLDIER_DEFEAT_COUNT	擊敗了\x0E\x01\x00\x00名一般士兵。
MID_ACHIEVE_MORPH_DEFEAT_FIRST	首次擊敗異形兵。
MID_ACHIEVE_MORPH_DEFEAT_COUNT	擊敗了\x0E\x01\x00\x00個異形兵。
MID_ACHIEVE_BANDITS_DEFEAT_FIRST	首次擊敗蠻族。
MID_ACHIEVE_BANDITS_DEFEAT_COUNT	擊敗了\x0E\x01\x00\x00名蠻族。
MID_ACHIEVE_CANE_COUNT	使用了\x0E\x01\x00\x00次杖。
MID_ACHIEVE_SORTIE_COUNT	\x0E\x01\x00\x00出擊了\x0E\x01\x01\x00次。
MID_ACHIEVE_CRITICAL_FIRST	首次發動必殺攻擊。
MID_ACHIEVE_CRITICAL_COUNT	發動了\x0E\x01\x00\x00次必殺攻擊。
MID_ACHIEVE_ENGAGE_FIRST	首次發動結合。
MID_ACHIEVE_ENGAGE_COUNT	發動了\x0E\x01\x00\x00次結合。
MID_ACHIEVE_ENGAGEATTACK_FIRST	首次發動結合技。
MID_ACHIEVE_ENGAGEATTACK_COUNT	發動了\x0E\x01\x00\x00次結合技。
MID_ACHIEVE_AVOIDANCE_FIRST	首次回避攻擊。
MID_ACHIEVE_AVOIDANCE_COUNT	回避了\x0E\x01\x00\x00次攻擊。
MID_ACHIEVE_DEGENSE_FIRST	首次防禦攻擊。
MID_ACHIEVE_DEGENSE_COUNT	防禦了\x0E\x01\x00\x00次攻擊。
