MID_SORTIE_START	開始戰鬥
MID_SORTIE_START_HELP	準備完畢後出擊。
MID_SORTIE_START_CONFIRM	是否要開始戰鬥？
MID_SORTIE_START_CONFIRM_YES	開始
MID_SORTIE_BACK	返回
MID_SORTIE_SELECT_UNIT	編組單位
MID_SORTIE_SELECT_UNIT_SELECT	請選擇單位。
MID_SORTIE_SELECT_UNIT_HELP	選擇要出擊的我方單位。
MID_SORTIE_EQUIP_GOD	紋章士戒指\x0E\x01\x08\x00
MID_SORTIE_EQUIP_GOD_HELP	更換紋章士戒指\x0E\x01\x08\x00。
MID_SORTIE_INVENTORY	整備
MID_SORTIE_INVENTORY_HELP	整理持有物品或裝備特技。
MID_SORTIE_CHANGE_POSITION	更改配置
MID_SORTIE_CHANGE_POSITION_HELP	更改我方單位配置及查看戰況。
MID_SORTIE_SHOP	商店
MID_SORTIE_SHOP_HELP	購買武器及道具。
MID_SORTIE_WEAPON_SHOP	武器店
MID_SORTIE_H_WEAPON_SHOP	購買武器。
MID_SORTIE_ITEM_SHOP	道具店
MID_SORTIE_H_ITEM_SHOP	購買道具。
MID_SORTIE_RELIANCE	支援對話
MID_SORTIE_RELIANCE_UNIT_SELECT	請選擇對象。
MID_SORTIE_RELIANCE_NONE	無支援對象。
MID_SORTIE_BONDS_RELIANCE	牽絆對話
MID_SORTIE_BONDS_RELIANCE_NONE	無紋章士。
MID_SORTIE_RELIANCE_ATTENTION	可在據點或世界地圖觸發牽絆對話及支援對話。
MID_SORTIE_SAVE	儲存
MID_SORTIE_SAVE_HELP	儲存目前進度。
MID_SORTIE_BACK_CONFIRM_HELP	回到世界地圖。
MID_SORTIE_BACK_CONFIRM	是否要返回世界地圖？
MID_SORTIE_BACK_CONFIRM_HELP_M026	回到據點索拉涅爾。
MID_SORTIE_BACK_CONFIRM_M026	是否要返回據點索拉涅爾？
MID_SORTIE_CONTINUEBATTLE_NOSELECT	連戰中無法選擇。
MID_SORTIE_COMMON_TRADE	交換
MID_SORTIE_UNIT_ITEM	整理持有物品
MID_SORTIE_UNIT_ITEM_LIST	持有物品一覽
MID_SORTIE_UNIT_TRADE	交換持有物品
MID_SORTIE_UNIT_ENTRUST	自動裝備
MID_SORTIE_UNIT_ENTRUST_WARNING1	運輸隊的持有物品不足，\n無法交予該單位足夠的持有物品。
MID_SORTIE_UNIT_ENTRUST_WARNING2	運輸隊沒有空間整理\n此單位的持有物品，\n故無法使用「自動裝備」。
MID_SORTIE_UNIT_STORE	保管
MID_SORTIE_UNIT_STORE_ALL	保管所有物品
MID_SORTIE_UNIT_STORE_ALL_WARNING	運輸隊已無空間，\n或是有無法保管的道具。
MID_SORTIE_UNIT_SKILL_OPEN	可以使用「特技裝備」了。
MID_SORTIE_UNIT_SKILL	特技裝備
MID_SORTIE_UNIT_CLASSCHANGE	轉職
MID_SORTIE_ALL_UNITS_ENTRUST	統一自動裝備
MID_SORTIE_ALL_UNITS_ENTRUST_CONFIRM	是否要自動整理\n出擊單位的持有物品？\n（未出擊單位的持有物品\n將全部交給運輸隊）
MID_SORTIE_ALL_UNITS_ENTRUST_ERROR	「統一自動裝備」僅能在出擊準備中，\n且選擇好出擊單位時才能使用。
MID_SORTIE_ALL_UNITS_ENTRUST_Yes	整理
MID_SORTIE_ALL_UNITS_ENTRUST_WARNING1	運輸隊的持有物品不足，\n無法交予所有出擊單位\n足夠的持有物品。
MID_SORTIE_ALL_UNITS_ENTRUST_WARNING2	運輸隊已無空間，\n無法整理持有物品。
MID_SORTIE_ALL_UNITS_STORE_ALL	統一全數保管
MID_SORTIE_ALL_UNITS_STORE_ALL_CONFIRM	是否要將所有單位的持有物品\n全數交由運輸隊保管？
MID_SORTIE_ALL_UNITS_STORE_ALL_WARNING	運輸隊已無空間，\n無法將所有單位的持有物品\n全數交由運輸隊保管。
MID_SORTIE_ALL_UNITS_ENTRUST_GOD	統一自動裝備
MID_SORTIE_ALL_UNITS_ENTRUST_GOD_CONFIRM	是否將出擊單位的戒指\x0E\x01\x08\x00\n設定為自動裝備？
MID_SORTIE_ALL_UNITS_ENTRUST_GOD_Yes	裝備
MID_SORTIE_ALL_UNITS_ENTRUST_GOD_No	取消
MID_SORTIE_ALL_UNITS_STORE_ALL_GOD	統一解除裝備
MID_SORTIE_ALL_UNITS_STORE_ALL_GOD_CONFIRM	是否要摘下所有單位的戒指\x0E\x01\x08\x00？
MID_SORTIE_ALL_UNITS_STORE_ALL_GOD_Yes	摘下
MID_SORTIE_ALL_UNITS_STORE_ALL_GOD_No	取消
MID_SORTIE_UNIT_NONE	沒有單位。
MID_TROOPLIST_PAGETITLE_BASIC	狀態
MID_TROOPLIST_PAGETITLE_STATUS	基本能力
MID_TROOPLIST_PAGETITLE_BATTLE	戰鬥能力
MID_SORTIE_INVENTORY_STORE	保管
MID_SORTIE_INVENTORY_RECEIVE	收下
MID_SORTIE_INVENTORY_EQUIP	裝備
MID_SORTIE_INVENTORY_REMOVE	卸除
MID_SORTIE_INVENTORY_ARRANGE	更改排序
MID_SORTIE_INVENTORY_USE	使用
MID_SORTIE_INVENTORY_DISCARD	捨棄
MID_SORTIE_INVENTORY_EMPTY	未持有任何物品。
MID_SORTIE_SKILL_CATEGORY_PERSON	個人
MID_SORTIE_SKILL_CATEGORY_JOB	兵種
MID_SORTIE_SKILL_CATEGORY_INHERITANCE	繼承
MID_SORTIE_SKILL_CATEGORY_GOD	同步
MID_SORTIE_SKILL_CATEGORY_ENGAGE	結合
MID_SORTIE_SKILL_CATEGORY_BONDS	牽絆
MID_SORTIE_SKILL_CATEGORY_EQUIPED	裝備中
MID_SORTIE_SKILL_OVERLAPPING	重複
MID_SORTIE_SKILL_SUPPLEMENT_HELP	與裝備中的特技有所重複。
MID_SORTIE_SKILL_POOL_NONE	未繼承任何特技。
MID_SORTIE_SKILL_POOL_TITLE	已繼承特技
MID_SORTIE_CLASSCHANGE_NEED_LV	必要等級
MID_SORTIE_CLASSCHANGE_NEED_APTITUDE	必要資質
MID_SORTIE_CLASSCHANGE_HAVE_APTITUDE	持有的資質
MID_SORTIE_CLASSCHANGE_NEED_ITEM	必要道具
MID_SORTIE_CLASSCHANGE_SKILL_LEVEL	於Lv.\x0E\x01\x00\x00習得
MID_SORTIE_CLASSCHANGE_NONE	沒有能轉職的兵種。
MID_SORTIE_CLASSCHANGE_CONFIRM_DIALOG	是否要轉職為「\x0E\x01\x00\x00」？
MID_SORTIE_CLASSCHANGE_CONFIRM_DIALOG_YES	轉職
MID_SORTIE_CLASSCHANGE_NEED_JOB	\x0E\x01\x00\x00Lv.\x0E\x01\x01\x00
MID_SORTIE_CLASSCHANGE_BASIC_ARMOR	刀劍/槍/重斧兵
MID_SORTIE_CLASSCHANGE_BASIC_KNIGHT	刀劍/槍/斧騎士
MID_SORTIE_CLASSCHANGE_BASIC_PEGASUS	刀劍/槍/斧飛馬騎士
