MID_SYS_Difficulty_Normal	普通
MID_H_Difficulty_Normal	適合初級和中級玩家。
MID_SYS_Difficulty_Hard	困難
MID_H_Difficulty_Hard	適合高手玩家。
MID_SYS_Difficulty_Lunatic	超難
MID_H_Difficulty_Lunatic	適合追求挑戰性的玩家。
MID_SYS_Mode_Select	請選擇模式。
MID_SYS_Mode_Casual	輕鬆模式
MID_H_Mode_Casual	倒下的夥伴會在下個章節歸隊，較為輕鬆的模式。
MID_SYS_Mode_Classic	經典模式
MID_H_Mode_Classic	玩家將會永遠失去倒下的夥伴，需謹慎思考的模式。
MID_SYS_Grow_Random	隨機
MID_H_Grow_Random	依據單位及兵種的特性，\n隨機決定升級時的能力提升。
MID_SYS_Grow_Fixed	固定
MID_H_Grow_Fixed	依據單位及兵種的特性\n決定升級時的能力提升值。
MID_Decision	確定
MID_ToNext	下一頁
MID_SYS_BattleRecord	戰績
MID_SYS_Time	時間
MID_SYS_None	無
MID_SYS_Battle_Count	戰
MID_SYS_Win_Count	勝
MID_SYS_FoughtTogetherGod	最常並肩作戰的紋章士
MID_SYS_TypeSection	兵種區分
MID_SYS_SeniorPosition	高級
MID_SYS_BasicPosition	基本
MID_SYS_SpecialPosition	特殊
MID_SYS_Position	\x0E\x01\x00\x00兵種
MID_SYS_UseWeapon	使用武器
MID_SYS_TypeOfWepon_1	其中1種
MID_SYS_TypeOfWepon_2	其中2種
MID_SYS_Status	戰鬥能力
MID_SYS_Capability	基本能力
MID_SYS_EquipedStatus	使用時能力
MID_SYS_Spec	性能
MID_SYS_Detail	詳情
MID_SYS_EngageWeapon	結合武器
MID_SYS_Class	兵種
MID_SYS_Item	持有物品
MID_SYS_Skill	特技
MID_SYS_SP	SP
MID_H_INFO_SP	特技點數，\n用於繼承紋章士的特技。
MID_SYS_Rating	綜合能力
MID_H_INFO_Rating	判斷單位綜合強度的基準。
MID_SYS_LV	Lv.
MID_H_INFO_LV	判斷實力的基準，\n累積經驗值便會提升。\n距離升級還需 \x0E\x01\x00\x00 EXP
