MID_WU_C_1_IN_#001	打擾了……！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	真不愧是神龍大人！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	居然能察覺到別人的氣息，真是厲害！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	看起來睡得很熟呢……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	雖然想多看幾眼這張睡臉……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	但差不多得叫他起床了……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	我搔搔搔……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	神龍大人居然醒了──！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	……開玩笑的啦。您不覺得有點懷念嗎？\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	早安。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	神龍大人～！啊……還在睡啊……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	啊，這麼快就醒了，真可惜……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	沒事，我什麼都沒說！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	他好像很累呢。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	雖然很想讓他就這樣睡下去……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	但我得狠下心來叫醒他才行。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	……神龍大人～！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	您醒來了呢，神龍大人。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	……呵呵，我這樣有沒有比較像龍之守護者呢？\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	啊……睡姿也超神的……！冷靜點，芙嵐……不能尖叫！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	對不起！我已經盡量放輕腳步了……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	我就算再喜歡神龍大人，也不會在這裡大喊大叫啦。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	前陣子我在訓練時大吵大鬧……真是對不起。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	雖然不想給神龍大人添麻煩……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	但我對您的愛實在是藏不住啊……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	呀～神龍大人醒來……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	咳咳，早安……我沒有大叫喔。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	最後一個字沒說出來應該不算數吧？\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	神龍大人！關於今天的工作……啊，還在睡呢……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	很抱歉吵醒您了。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	我剛才打掃了索拉涅爾喔！\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	在這裡等神龍大人醒來好了……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	對了，把這個房間也打掃一下吧。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	撿走垃圾、擦掉灰塵……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	啊！花瓶──！\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	對不起～！\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	我等一下會清理這個花瓶。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	那、那個，我已經將索拉涅爾打掃完畢囉！\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	打擾了，您的粉絲後援會名譽會長來囉！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	呀～！早安～！\x0E\x04\x00\x00
