MID_TUT_BMAP_EVIL_MAGECANON_EN_TITLE	魔法加農炮兵
MID_TUT_BMAP_EVIL_MAGECANON_EN_0	魔法加農炮兵會從遠處發射炮彈攻擊，\n需多加留意。
MID_TUT_BMAP_EVIL_MAGECANON_EN_1	敵方的魔法加農炮兵顯示全體危險範圍的方式\n與一般情況不同。
MID_TUT_HUB_WELL_TITLE	神秘水井
MID_TUT_HUB_WELL_0	把不需要的道具丟到水井裡吧。\n（丟到水井的道具將會消失）
MID_TUT_HUB_WELL_1	出擊後再來查看水井，\n將可獲得其他道具。
MID_TUT_HUB_WELL_2	丟入的道具價值越高，期待值便越高，\n可獲得優質道具的機率也就越大。
MID_TUT_HUB_WELL_WEAPON_1	武器店老闆似乎有什麼事。
MID_TUT_HUB_WELL_WEAPON_2	到水井找武器店老闆的失物吧。
MID_TUT_HUB_WELL_WEAPON_3	把在水井撿到的武器交給武器店老闆吧。
MID_TUT_GOD_CHROM_TITLE	紋章士庫洛武
MID_TUT_GOD_CHROM_0	「紋章士庫洛武」會用自己的劍術\n及夥伴魯弗萊的魔法或計策，將敵人玩弄於股掌之間。
MID_TUT_GOD_CHROM_1	同步技「偷襲」\n可讓人在「回避+補正地形」發動攻擊時，\n不會遭到敵人反擊。
MID_TUT_GOD_CHROM_2	結合武器「雷電劍」\n可以對遠處的敵人發動魔法攻擊。
MID_TUT_GOD_CHROM_3	結合特技「另一半」\n會依魯弗萊的力量大幅提升魔力，\n戰鬥時魯弗萊也會參與連鎖攻擊。
MID_TUT_GOD_CHROM_4	結合技「萬鈞雷霆劍」\n可用附有魔力的劍攻擊敵人，\n並對「魔防」低的對手造成大量傷害。
MID_TUT_GOD_VERONICA_TITLE	紋章士維洛妮卡
MID_TUT_GOD_VERONICA_0	「紋章士維洛妮卡」的戰術變幻莫測，\n可召喚我方單位或發動特殊攻擊。
MID_TUT_GOD_VERONICA_1	同步技「血仇」\n在攻擊敵人時，若自身HP未達最大值，\n會將減少量的30%加計至攻擊力。
MID_TUT_GOD_VERONICA_2	結合武器「至高王座之杖」\n可在主動攻擊時，讓自身不會遭到對手反擊。
MID_TUT_GOD_VERONICA_3	結合特技「契約」\n可讓結束行動的我方單位\n再次發動攻擊或使用道具。
MID_TUT_GOD_VERONICA_4	結合技「英雄召喚」\n可在地圖上隨機召喚\n我方單位一起並肩作戰。
MID_TUT_TIPS_Veronica	紋章士維洛妮卡
MID_TUT_TIPS_Chrom	紋章士庫洛武
MID_TUT_TIPS_Reflet	紋章士魯弗萊
MID_TIPS_OTHER_36	道具若丟入「神秘水井」，出擊後將會變成其他道具。
MID_TIPS_SKILL_34	擊敗等級高於自身的單位時，自身等級將會提升，並持續至整場戰鬥結束。
MID_TIPS_SKILL_35	不展開戰鬥及不使用道具便待命時，「異界之力」會提升1個階段。
MID_TIPS_JOB_01	使用休息之杖能解除幻影狼的「牙咒」。
MID_TIPS_GOD_35	異界恩布拉帝國的皇女，能關閉通往其他世界的門扉。
MID_TIPS_GOD_36	是位能操控異界英雄的少女，曾用這份力量侵略其他國家。
MID_TIPS_GOD_37	繼承傳說之劍「法爾西昂」的異界伊里斯聖王國王子。
MID_TIPS_GOD_38	與庫洛武建立深厚友誼的軍師，會用計扭轉戰局，帶領夥伴取得勝利。
