MID_WU_C_1_IN_#001	不好意思，我是來叫您起床的。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	幸好您起床了，我實在是不忍心叫醒您呢。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	那麼，我就先告辭了。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	不過，打擾別人睡覺真的不太好啊……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	我還是先到外頭看看風景好了。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	哦？那裡好像有不錯的……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	啊，您醒了啊。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	那麼，我的任務就算完成了。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	我打算去逛逛那邊的百合薔薇之園，先失陪了。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	已經早上囉，神龍大人。\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	……就算這麼說，您也不會馬上起床吧。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	什麼……！我本來是怕冷掉才……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	要是知道您這麼快起床，我就把紅茶端來了。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	不過話說回來……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	起床後與其看到我這種不起眼的人……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	還是俊男美女比較賞心悅目吧……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	嗯……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	像是深閨千金……或是眉清目秀的青年騎士……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	啊，神龍大人。您是什麼時候醒來的？\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	今天就來想想我和神龍大人配對的可能性吧。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	……哎呀，我都還沒來得及想，您就醒了呢。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	不過這樣也好。早安，神龍大人。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	既然這個房間裡沒有百合薔薇之園……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	那我就自己做出一個出來。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	我是美麗的女騎士……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	我是美麗又楚楚可憐的女騎士……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	啊，神龍大人。早安。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	……哎呀，真不好意思。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	我剛才完全沉浸在想像裡……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	要不是聽見自己低沉的男聲，恐怕還醒不過來呢。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	比起叫醒我那些弟弟，我更喜歡叫神龍大人起床呢。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	您醒得真快啊……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	我老家的弟弟們根本無法與您比較。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	啊，神龍大人……我願意追隨您一輩子。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	我那三個弟弟每天早上都很難叫醒。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	不過，大多都能靠這一句話來解決。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	……「你再不起來就沒早飯吃囉！」\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	哦，沒想到這句話對神龍大人也有效。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	我還真是上了一課呢。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	那麼，您就趕緊去享用早點吧。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	我的預測應該不會錯才對……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	啊，果然沒錯。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	我就知道您今天不會賴床。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	這是我特地為您準備的紅茶。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	我用了些家鄉的葡萄增添香氣，外頭可是喝不到的喔。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	呵呵……大家會輪流來叫神龍大人起床……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	也就是說只要我待在這裡……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	就能看到神龍大人與每個人的配對啊……！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	早安，我發現了一個很嚴重的問題……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	一直守在這裡實在太可疑了……我還是離開吧。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	我把負責叫您起床的事也寫進家書裡了。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	哦，您想知道我寫了什麼嗎？\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	當然，我也寫了神龍大人的事喔。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	像是……沒想到神龍大人不太會賴床呢。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	我照著您的建議想到什麼就寫下來……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	結果就寫了一堆神龍大人的事喔。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	啊……！難道我對神龍大人……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	看來我……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	想讓神龍大人跟弟弟們見面呢。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	啊……那個畫面……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	一定很賞心悅目……\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	都叫您起床這麼多次了，沒想到我還是會難為情呢。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	哇，您別突然醒來啊。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	雖然我已經習慣從遠方看著您……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	但像這樣四目相接……我還是很不習慣呢。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	沒想到您會將「約定戒指」送給我。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	我之前還在猜神龍大人會送給誰……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	想到各種可能的配對就讓我興奮不已呢。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	不過，我其實心裡鬆了一口氣。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	不知從何時開始……只要看見您和其他人在一起……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	我的胸口就會覺得很難受。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	早安。來，把手給我吧。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	為什麼？因為我是您的守護使者啊。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	既然您選擇了我……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	我就得把您照顧得無微不至才行。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	神龍大人，已經早上囉。\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	您今天會馬上起床嗎？還是……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	呵呵，早安。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	您這麼急著起來是怕我跑走嗎？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	……不用擔心，這輩子我都不會離開您。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	您還想再睡一會嗎？這也在我預料之中呢。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	咦？神龍大人睡覺時……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	還戴著我送給您的戒指。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	真是高興……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	我直到最近才漸漸習慣和您在一起呢。\x0E\x04\x00\x00
