MID_WU_C_1_IN_#001	神龍大人，該「起床」了。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	哦，「些微的動靜」您就醒了？警覺性真高。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	那麼我先告退了……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	……「叫不醒」啊。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	傷腦筋……我工作很忙的。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	看來只好用點「非常手段」了……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	試著在他耳邊用金屬製造點「噪音」吧。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	您臉上寫著「不服氣」呢。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	不好意思，可沒有人規定……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	達到「目的」的「手段」啊。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	……「房裡好安靜」啊。\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	簡直像座「墳場」……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	太好了。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	方才完全聽不見一點「呼吸聲」……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	一個不小心就「瞎操心」了。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	……神龍大人「活著」呢。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	那我慢慢等他醒來吧。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	只要知道他終究「會醒」……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	那就不會「無聊」了……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	您比我想得還早「醒」呢。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	我都準備好要「長期抗戰」……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	打算看點「哲學書籍」了……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	看來是我「多慮」了。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	您總是「睡得」很香呢……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	也「不太」有「起床氣」。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	我可真是「羨慕」呢……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	神龍大人。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	您就這樣沉睡了「千年」嗎……\x0E\x04\x00\x00
