MID_WU_C_1_IN_#001	神龍大人，打擾了，請問我現在進去方便嗎？\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	哎呀，您這麼快就醒了啊。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	早安，我得去告訴今天的主廚……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	要趕快準備早餐才行呢。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	我其實很喜歡照顧人的……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	但在宅邸時大家什麼事都不讓我做……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	所以我一直很期待今天的到來喔，呵呵呵。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	早安，神龍大人。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	我來助您梳洗更衣吧。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	我一直很想試試女僕的工作呢。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	來，請儘管吩咐我吧。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	糟糕，我遲到了……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	神龍大人，真的很抱歉。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	我一直在思考不知道您喜歡什麼樣的早餐……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	一個不小心就耽誤了時間。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	您喜歡吃什麼呢？\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	我在思考神龍大人的早餐怎麼安排……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	回過神來就這個時間了。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	是用蒸烤肉片當主餐搭配麵包和蔬菜，還是要……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	早安，不好意思，您剛醒我就問問題……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	能請神龍大人告訴我，您喜歡的食物嗎？\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	我想做個參考好讓主廚做料理。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	居然將這樣的重責大任交給我，太令人開心了。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	神龍大人連睡醒的樣子都很優雅呢。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	我總是想賴床……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	讓女僕們很困擾。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	為了讓神龍大人起床時能有好心情，我今天帶寶石過來囉。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	有鑽石、黃寶石、祖母綠……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	還有和神龍大人眼睛很像的紅、藍寶石。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	早安，晨光中看這些寶石是不是很漂亮？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	那些都是產自布羅帝亞……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	經工匠精心打磨的寶石。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	全都送給神龍大人。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	索拉涅爾的路邊還真是出現什麼都不奇怪呢……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	早安，神龍大人。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	我今天早上在路邊看到了個很大的牛奶瓶。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	自從我在路邊撿了小石頭……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	就總忍不住去看有什麼東西呢……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	今天早上有牛奶瓶，昨天有紅茶的茶葉……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	大前天則有很重的金屬塊……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	但這些就沒辦法像之前的小石頭一樣……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	拿來送給神龍大人呢……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	我雖笨拙，但尋找失主這點小事還是能做的。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	神龍大人，您要不要也來幫忙呢？\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	哎呀，我的裙子上有灰塵……\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	我要不要回去一趟……\x0E\x04\x00\x00
MID_WU_A_1_IN_#003	把衣服換了呢？\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	早安，我今天是鍛鍊完才過來的……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	實在是有些儀容不整……\x0E\x04\x00\x00
