MID_WU_C_1_IN_#001	呼……這種安靜的地方還真令人緊張呢。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	咦？您已經醒了嗎？\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	難道說……是我的腳步聲太吵了……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	快走吧，大家都在等您喔！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	雖然我在王城工作了很久……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	但是布羅帝亞城可沒這麼安靜呢……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	早知道就多學一點宮廷禮儀了。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	早晨的問候可是很重要的喔。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	畢竟戰場上刀劍無情……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	誰曉得明天還能不能說上話呢。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	莫力翁陛下也有專人叫他起床呢……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	哈哈哈，您好像還很想睡呢。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	這種時候就該活動一下身體……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	讓腦袋清醒過來喔。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	我身為一介士兵，其實不該隨便踏進王族的寢室……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	但這裡也算是祭壇吧。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	那麼，我就不必顧慮了……神龍大人！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	能在早上一睹神龍大人的尊容……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	讓我整個人都燃起鬥志了呢！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	今天我也會好好加油的喔！\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	這是今天早上剛捉到的鮮魚喔！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	神龍大人也喜歡吃魚嗎？\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	這條魚是帝亞曼德殿下釣到的喔。\x0E\x04\x00\x00
