MID_WU_C_1_IN_#001	我聽說你很會賴床，所以就來叫醒你囉。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	咦？看來你沒有那麼會賴床嘛。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	能早點跟你說上話，我也很開心喔。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	早安，神龍大人。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	原來如此，跟傳聞中一樣棘手啊。該怎麼辦呢……？\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	雖然睡夢中被嚇醒有點可憐，但我還是直接大聲叫醒他吧。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	吸氣……該起床囉！神龍大人！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	很抱歉用這麼粗魯的方式叫你起床。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	不過，還挺有效的不是嗎？\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	我還能順便鍛鍊肺活量呢。那我先告辭囉。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	打擾囉，我被人拜託來叫你起床。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	你起得挺早的嘛。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	下次要不要再早點起來跟我一起鍛鍊啊？\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	既然都是叫人起床，我想讓神龍大人舒服地醒來……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	對了，我去拿些甜點來……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	塞滿他的嘴巴吧！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	早安。哎呀，我的自言自語被你聽到了嗎？\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	放心，我就只是想想而已。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	……應該吧。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	我來為你送上幸福的早晨囉，神龍大人。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	早安，感謝上天讓我們平安地迎來新的一天。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	畢竟我們每天都離死亡只有一線之隔啊。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	呵呵，話是這麼說……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	但我知道你的意思，所以我今天不會特別做什麼的。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	畢竟給你添麻煩的話，就不配當你的朋友啦。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	嗨。你睡得怎麼樣？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	要是你又想吃肉量滿滿的早餐……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	或是想聽著我的笛聲入眠的話……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	隨時都可以跟我說喔。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	我很喜歡叫你起床呢。\x0E\x04\x00\x00
MID_WU_B_2_IN_#002	每次來到這裡時，都有種懷念的感覺……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	嗯？我什麼都還沒做你就醒了。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	呵呵……這算是不勞而獲嗎？我真是幸運呢。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	早安。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	像這樣看著你的睡臉……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	就讓我想起小時候和母后來這裡的事。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	當時的我可沒想到……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	會像現在這樣和你無話不談呢……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	你醒啦？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	呵呵……以前怎麼叫你都不會醒……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	現在卻能像這樣睜開雙眼看著我……\x0E\x04\x00\x00
