MID_WU_C_1_IN_#001	天亮囉！\x0E\x04\x00\x00
MID_WU_C_1_IN_#002	早睡早起的安娜小姐來叫你起床啦！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	哇，馬上就起來啦。真了不起！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	不過，你也起得太早了……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	神龍大人其實一個人也起得來吧……？\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	叫不醒呢……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	難道說神龍大人是夜貓子……所以早上起不來嗎？\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	神龍大人雖然戰勝了夜晚，卻難敵早晨……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	以三角互克的角度來看，\n也就是夜晚勝過早晨的意思囉……？\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	早安，神龍大人。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	想要戰勝早晨的睡意……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	最好的方法就是早點睡喔！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	好好加油吧！\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	安娜小姐的叫醒服務來囉！該起床啦～！！\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	早安，神龍大人。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	我有好好地把你叫醒了喔。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	作為服務費……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	你就來摸摸本小姐的頭吧！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	還真是棘手呢……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	這時候就輪到這東西上場了！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	安娜小姐的新商品……鬧鈴玩偶！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	像這樣把玩偶設定好後……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#005	到了指定的時間就會發出嚇人的聲音……哇啊！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	你起床啦！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	看來這東西很有效呢。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	說不定會賣到翻喔！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	咦？\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#005	用一次就壞掉了……真可惜……\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	噹噹──！今天是冬祭喔～！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	「嚇醒你大作戰」成功啦！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	我知道索拉涅爾沒有這種慶典……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	但在我的故鄉裡……大家每天都會慶祝冬祭喔！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	嗯……果然騙不過神龍大人嗎……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	不過，我的故鄉真的是天天都在慶祝冬祭喔。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	不知道村裡的大家過得好不好……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	早安，神龍大人。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	我、我才沒有擺著苦瓜臉呢！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	帶著笑容招呼客人可是商人的基本功喔！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	不過……還是謝謝你的關心。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	神龍大人說不定擁有經商的才能呢……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	早安！\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	除了情人節的商品之外……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	我還想了很多新商品喔。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	有空的話就再來幫幫我吧！\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	我的故鄉是冬祭之村……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	村裡整年都在舉辦慶典，人人都在構思新商品……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	如果神龍大人能跟我一起回鄉的話……！\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	神龍大人，你有興趣搬到伊爾席翁的村落住嗎？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	我替你準備了幾個搬家方案喔。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	像是這個就很划算……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	咦？！你沒興趣嗎？\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	神龍大人，我進了一種神奇的商品喔！\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	是能改變聲音的藥！快起床試試看吧！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	早安，神龍大人！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	來吃看看這個吧！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	聲音沒有變化耶……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	難道……我買到假貨了嗎？\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	你不起來的話，我只好自己試囉……我吞！\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	咦！？怎、怎麼回事？不只是聲音，我……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	我變成大人啦！好厲害～！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	哎呀……變回來了。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	真想讓你看看我剛才的模樣呢。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	等下次進貨時，我再變給你看吧！\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	嘿嘿～情人節項鍊開發得很順利呢！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	對了，你是想出這個點子的人……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	應該很在意開發進度吧？\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	其實我打算利用之前學過的工藝知識……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	把商品改良得更完美喔！\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	多虧了你，這次應該能做出很棒的商品……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	我們的項鍊……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	說不定會幫很多人牽上紅線喔！\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	你不覺得很美妙嗎？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	之前你替我想出了項鍊的點子……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	真的非常謝謝你！\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	咦？我不會更改商品名稱喔。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	這個項鍊一定要冠上神龍大人的名字才行！\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	早安～！\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	俗話說「早起的商人有錢賺」，快點起來吧！\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	真不愧是我安娜小姐的搭檔呢。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	看來你也懂得賺錢的道理嘛！嘿嘿……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	今天也請你多多指教囉。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	不肯起床嗎？沒關係……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	反正我喜歡待在你的身邊。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	我也很喜歡你之前送的戒指……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	畢竟這表示我是你心中最重要的人嘛。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	還有啊，偷偷跟你說……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	我也喜歡你的紅色頭髮喔！\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	因為……看起來跟我的紅髮是一對啊～\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	啊，早安。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	好！今天也要把商品都賣光光喔！\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	只要我們兩個聯手……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	一定會生意興隆！對吧？\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	情人節也結束了……\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	快起床跟我一起想想新商品吧，我的搭檔！\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	喔！你很有幹勁嘛。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	只要有你在身邊……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	感覺就能想出很多好點子呢。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	讓我們一起創造出大量的回憶和財富吧～\x0E\x04\x00\x00
