MID_TUT_BMAP_EVIL_RULE_TITLE	邪龍之章的出擊規則
MID_TUT_BMAP_EVIL_RULE_0	在邪龍之章中，\n我方單位將依每張戰鬥地圖\n規定的等級和兵種出擊。
MID_TUT_BMAP_EVIL_RULE_1	持有的道具也是固定的，\n但可與其他單位交換持有物品。
MID_TUT_BMAP_EVIL_RULE_2	此外，無論遊玩「輕鬆模式」或「經典模式」，\n在戰鬥中倒下的我方單位都會在過關後歸隊。
MID_TUT_BMAP_EVIL_GUEST_TITLE	特別單位
MID_TUT_BMAP_EVIL_GUEST_0	在邪龍之章的故事中，\n每張地圖都會有指定的特別單位參戰。
MID_TUT_BMAP_EVIL_GUEST_1	愛爾是能使用龍石戰鬥的強大單位，\n而伊爾的基本能力值較低，盡量別派他上前線，\n讓他與紋章士聯手支援友軍吧。
MID_TUT_BMAP_EVIL_GUEST_2	在邪龍之章中，\n愛爾或伊爾倒下將會敗北，\n請務必多加留意。
MID_TUT_BMAP_EVIL_FANG_CURSE_TITLE	異常狀態「牙咒」
MID_TUT_BMAP_EVIL_FANG_CURSE_0	若被異形狼的獠牙咬到，\n戰鬥後將會陷入「牙咒」狀態。
MID_TUT_BMAP_EVIL_FANG_CURSE_1	陷入牙咒狀態後HP最大值將會減少5，\n且每次受到獠牙攻擊效果都會疊加。
MID_TUT_BMAP_EVIL_FANG_CURSE_2	牙咒狀態會持續至整場戰鬥結束，\n使用「休息」之杖即可回復。
MID_TUT_BMAP_EVIL_MELEE_TITLE	混戰
MID_TUT_BMAP_EVIL_MELEE_0	腳下圓圈呈黃色的單位也是敵人。
MID_TUT_BMAP_EVIL_MELEE_1	紅色單位與黃色單位彼此為敵，\n將會互相攻擊。
MID_TUT_BMAP_EVIL_MELEE_2	或許能巧施妙計\n讓他們兩敗俱傷。
MID_TUT_BMAP_EVIL_POW_TITLE	遭俘的\x0E\x06\x03\x00
MID_TUT_BMAP_EVIL_POW_0	遭俘的\x0E\x06\x03\x00身上沒有武器，\n只能單方面承受攻擊。
MID_TUT_BMAP_EVIL_POW_1	\x0E\x06\x03\x00若被擊敗將會敗北，\n要是他受到傷害就替他療傷吧。
MID_TUT_BMAP_EVIL_SUMMON_TITLE	召喚漩渦
MID_TUT_BMAP_EVIL_SUMMON_0	在我軍下個行動階段開始時，\n召喚漩渦所在的位置將會召喚出敵人。
MID_TUT_BMAP_EVIL_SUMMON_1	只要有單位身處漩渦所在的格子上，\n即可阻止漩渦召喚敵人。\n若有辦法，就把漩渦堵住吧。
MID_TUT_BMAP_EVIL_RUSHMOVE_TITLE	破壞衝動
MID_TUT_BMAP_EVIL_RUSHMOVE_0	邪龍陣發光時，大邪龍伊爾會在\n敵軍下個行動階段將周圍破壞殆盡，\n並朝邪龍陣移動。
MID_TUT_BMAP_EVIL_RUSHMOVE_1	此時，身在危險範圍的單位無論敵我，\n皆會受到波及並倒下。
MID_TUT_BMAP_EVIL_RUSHMOVE_2	而大邪龍伊爾將會依受到波及並倒下的\n單位數量增強自身力量。
MID_TUT_DLG_E006_ADVICE	我方單位在邪龍之章被擊敗也不會消失，\n將會在過關後歸隊。\n儘管派出所有戰力挑戰吧！
MID_TUT_BMAP_EVIL_ENCHANT_TITLE	特殊兵種「附魔師」
MID_TUT_BMAP_EVIL_ENCHANT_0	附魔師這種兵種可使用道具跟武器\n來強化自身、我方單位或武器。\n轉職時需要「神秘包包」。
