MID_WU_C_1_IN_#001	今天是由可愛的奧爾坦希亞負責叫你起床喔！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	早安！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	難道……你是想和人家見面才急著起來嗎？\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	神龍大人真可愛！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	咦，還沒起床嗎？\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	哼哼～神龍大人是不想被人看到剛起床的樣子吧？\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	別擔心……人睡醒時都會有點醜，人家不會在意喔！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	神龍大人，早安……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	咦、咦？\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	神龍大人一起床就這麼美嗎？\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	連臉都沒有洗？真的嗎？\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#005	總、總覺得有點受到打擊……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#006	人家先回去了……\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	其實進來這個房間讓人家有些緊張呢……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	哇，你馬上就醒了呢。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	你不喜歡別人進到自己的房間嗎？\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	如果是這樣的話……人家很抱歉。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	人家這樣做……真的好嗎？\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	身為一位邪龍信仰國的王族……人家卻跑來這裡。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	要是父王看到現在的人家跟姊姊……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	不知道會怎麼說……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	早安，神龍大人。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	咦？人家的臉色很難看？\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	至少也該說是面帶愁容吧……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	那個，雖然我們曾經互相敵視……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#005	但今後人家會為了神龍大人而戰喔。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	伊爾席翁第一可愛的奧爾坦希亞來叫你起床囉！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	人家要努力叫神龍大人起床才行……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	咦？你已經醒了嗎？\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	人家想了很多叫醒你的方法耶……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	算啦，你醒了就好。早安！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	哦？睡得還真沉呢。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	一點鼾聲都沒有，就像是死了一樣……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	等等，該不會真的死了吧？\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	喂，還活著嗎？醒醒呀！神龍大人！？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	呼～你總算醒了。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	真是太好了……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	真是的，別讓人家擔心啦！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	為了不要讓人家誤會……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#005	以後睡相盡量差一點喔！\x0E\x04\x00\x00
