MSID_Hp_5	HP+5
MSID_H_Hp_5	HP提升5
MSID_Hp_7	HP+7
MSID_H_Hp_7	HP提升7
MSID_Hp_10	HP+10
MSID_H_Hp_10	HP提升10
MSID_Hp_12	HP+12
MSID_H_Hp_12	HP提升12
MSID_Hp_15	HP+15
MSID_H_Hp_15	HP提升15
MSID_Str_1	力量+1
MSID_H_Str_1	力量提升1
MSID_Str_2	力量+2
MSID_H_Str_2	力量提升2
MSID_Str_3	力量+3
MSID_H_Str_3	力量提升3
MSID_Str_4	力量+4
MSID_H_Str_4	力量提升4
MSID_Str_5	力量+5
MSID_H_Str_5	力量提升5
MSID_Str_6	力量+6
MSID_H_Str_6	力量提升6
MSID_Tec_1	技巧+1
MSID_H_Tec_1	技巧提升1
MSID_Tec_2	技巧+2
MSID_H_Tec_2	技巧提升2
MSID_Tec_3	技巧+3
MSID_H_Tec_3	技巧提升3
MSID_Tec_4	技巧+4
MSID_H_Tec_4	技巧提升4
MSID_Tec_5	技巧+5
MSID_H_Tec_5	技巧提升5
MSID_Spd_1	速度+1
MSID_H_Spd_1	速度提升1
MSID_Spd_2	速度+2
MSID_H_Spd_2	速度提升2
MSID_Spd_3	速度+3
MSID_H_Spd_3	速度提升3
MSID_Spd_4	速度+4
MSID_H_Spd_4	速度提升4
MSID_Spd_5	速度+5
MSID_H_Spd_5	速度提升5
MSID_Lck_2	幸運+2
MSID_H_Lck_2	幸運提升2
MSID_Lck_4	幸運+4
MSID_H_Lck_4	幸運提升4
MSID_Lck_6	幸運+6
MSID_H_Lck_6	幸運提升6
MSID_Lck_8	幸運+8
MSID_H_Lck_8	幸運提升8
MSID_Lck_10	幸運+10
MSID_H_Lck_10	幸運提升10
MSID_Lck_12	幸運+12
MSID_H_Lck_12	幸運提升12
MSID_Def_1	防守+1
MSID_H_Def_1	防守提升1
MSID_Def_2	防守+2
MSID_H_Def_2	防守提升2
MSID_Def_3	防守+3
MSID_H_Def_3	防守提升3
MSID_Def_4	防守+4
MSID_H_Def_4	防守提升4
