MID_WU_C_1_IN_#001	早安！神龍大人，天亮囉！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	你醒了嗎？\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	早餐的話我推薦熱帶水果喔。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	我很喜歡鳳梨和香蕉呢！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	我都叫得那麼大聲了，神龍大人卻還是沒醒。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	索爾姆王室的人都醒得很快呢……有意思，這感覺真新奇！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	早安，神龍大人！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	我都特地來叫你起床了……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	就一起去吃頓早餐吧。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	神龍大人、神龍大人～！哎呀……在睡覺啊。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	神龍大人是剛起床嗎？\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	能看到神龍大人的愛睏臉……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	我還真是幸運啊。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	我想寄信給自衛團……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	可是不知道從索拉涅爾要怎麼寄出去……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	對了，在索爾姆會透過紅鶴傳書喔～\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	你起來啦！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	神龍大人……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	請你教教我從索拉涅爾寄信的方法吧。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	當然，最好是一對一教學喔～\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	總算輪到我叫神龍大人起床了……看我的吧！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	你已經醒來啦！？\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	哎呀～難得我準備了這麼多……這樣真沒勁！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	你能躺回去閉上眼嗎？\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	拜託你啦！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	首先用美食的香氣……沒醒。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	接著在耳邊奏樂……這也行不通。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	那來試試看這個好了……在耳邊呼氣！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	呼～\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	早安～！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	你喜歡這種起床方式嗎？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	下次我會換別種方式試試看。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	記得告訴我你最喜歡哪種方式喔……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#005	好嗎？神龍大人。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	你好，神龍大人……抱歉在你睡覺時打擾你。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	啊，你醒來啦？\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	不，我只是想跟你聊幾句而已！\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	沒想到你一聽到我的聲音就起來了……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	神龍大人真是善解人意～！\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	神龍大人還在睡啊？這樣也好。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	之前說的……我不想被人知道自己有多努力那件事……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	謝謝你願意傾聽我的話。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	多虧有你，我才能……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	沒事，你不用在意。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	為了我最喜歡的神龍大人……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	我得更努力才行呢。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#005	我只是想跟你說這句話而已。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	我越來越喜歡來這裡了呢。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	早啊～神龍大人！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	沒想到你這麼快就醒了。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	我看神龍大人是……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	愛上被我叫醒的感覺了吧？\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	呵呵呵……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	聽了我的聲音還不起來，看來神龍大人是想跟我比一場呢。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	好，那麼在這支香熄滅前弄醒你就算我贏……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	我們來一決勝負吧！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	哎呀呀，你醒得比我預料中還快呢。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	那麼，這場比賽就算我贏囉。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	下次就陪我聊聊天當作獎勵吧……就我們兩個人喔。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	索爾姆王國第一王子佛賈特……\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	現在要來叫醒神龍大人了！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	哦？這麼快就醒啦。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	現在時間還早呢……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	不如我們來聊聊神龍大人喜歡的食物吧？\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	神龍大人、神龍大人。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	你還記得我們的約定嗎？\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	我若有好表現，就要一起吃飯！\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	我可是超級期待的喔！\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	醒了醒了。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	那我就失陪囉。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	我得多做些鍛鍊……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	才能早點在戰場上立下大功……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#005	你就等著看吧，神龍大人！\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	神龍大人～！我很高興能像這樣叫你起床～！\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	啊，對不起。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	我叫得太大聲了。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	我不是故意要嚇你的喔。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	……我會安靜點的，你就原諒我吧。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#005	對了……早安。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	我成為你的搭檔後每天都過得很幸福。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	謝謝你。啊，不過……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	真希望我們能有更多時間獨處呢。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	但神龍大人是軍隊的統帥，這也是沒辦法的事……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	我偶爾也想和你像這樣悠閒地度過啊。\x0E\x04\x00\x00
