MID_H_INFO_WLV_Bullet	炮彈
MID_MSG_LOST_ITEM	\x0E\x01\x00\x00失去了\x0E\x01\x01\x00。
MID_DLC_News_Patch2_Title	Ver.1.3.0 更新內容
MID_DLC_News_Patch2	【擴充票】\n\n・已新增紋章士庫洛武/魯弗萊、紋章士維洛妮卡\n　過關他們各自的新戰鬥地圖後，該紋章士就會成為夥伴。\n\n【免費更新】\n\n・據點「神秘水井」已新增功能\n　可將不要的道具轉換成其他道具。\n\n・在「鍛鍊之間」也能夠進行「特技繼承」。
MCID_G003_PREFIX	神龍之章
MCID_G003	年幼皇女
MCID_G003_PLACE	英雄們的聖域
MCID_G003_OUTLINE	據說有人在立有神秘石碑的天空之島上，\n發現了新的手鐲。
MCID_G006_PREFIX	神龍之章
MCID_G006	聖王
MCID_G006_PLACE	命運與牽絆的祭壇
MCID_G006_OUTLINE	據說有人在莊嚴的神殿內部，\n發現了新的手鐲。
MID_RULE_G003_WIN	戰勝紋章士維洛妮卡
MID_RULE_G006_WIN	戰勝紋章士庫洛武與紋章士魯弗萊
MTID_StartupTile	啟動盤
MTID_MagicWall	魔法障壁
MTID_Pond	池塘
MPID_PhantomWolf	造物
MPID_H_PhantomWolf	透過秘術製造出來的無魂野獸。\n沒有自己的意志，只會遵從主人的命令行事。
MPID_Veronica	維洛妮卡
MPID_H_Veronica	人稱「英雄紋章士」。\n是位能操控異界英雄的皇女。
MPID_Chrom	庫洛武
MPID_H_Chrom	人稱「牽絆紋章士」。\n是位信任夥伴、扭轉命運的神聖王子。
MPID_Reflet	魯弗萊
MPID_H_Reflet	人稱「牽絆紋章士」。\n是位失去記憶，輔佐著庫洛武的天才軍師。
MGID_Veronica	維洛妮卡
MGID_H_Veronica	人稱「英雄紋章士」。\n是位能操控異界英雄的皇女。\n不僅魔道力高超，本身也能用魔法或杖戰鬥。
MGID_H_EnemyVeronica	從「年幼皇女的手鐲」中甦醒的紋章士。
MGID_Chrom	庫洛武
MGID_H_Chrom	人稱「牽絆紋章士」。\n是位信任夥伴、扭轉命運的神聖王子。\n能用高強的劍術與牽絆之力擊潰敵人。
MGID_H_EnemyChrom	從「聖王的手鐲」中甦醒的紋章士。
MGID_Reflet	魯弗萊
MGEID_Veronica	英雄紋章
MGEID_Chrom	牽絆紋章
MJID_MageCannon	魔法加農炮兵
MJID_H_MageCannon	隨身攜帶著鐵炮，能發射炮彈的重裝步兵。\n宛如行動炮台，可從遠處發動各種攻擊。\n
MJID_PhantomWolf	幻影狼
MJID_H_PhantomWolf	在地上爬行的狼之眷屬。\n行動敏捷難以捉摸，能以詛咒獠牙咬傷敵人。
MIID_Trahison	特拉伊宗
MIID_H_Trahison	散發異世界氛圍的戰槍。
MIID_Levanche	路邦修
MIID_H_Levanche	散發異世界氛圍的戰斧。
MIID_Chocolate	巧克力之刃
MIID_H_Chocolate	散發甜甜香氣的劍。\n可當成道具回復自身HP，\n使用後則會消失。
MIID_SoftCream	甜筒槍
MIID_H_SoftCream	散發甜甜香氣的槍。\n可當成道具回復自身HP，\n使用後則會消失。
MIID_Lollipop	棒棒糖之斧
MIID_H_Lollipop	散發甜甜香氣的斧。\n可當成道具回復自身HP，\n使用後則會消失。
MIID_Croissant	可頌彎弓
MIID_H_Croissant	散發甜甜香氣的弓。\n可當成道具回復自身HP，\n使用後則會消失。
MIID_Tiramisu	提拉米蘇風暴
MIID_H_Tiramisu	散發甜甜香氣的攻擊魔法。\n可當成道具回復自身HP，\n使用後則會消失。
MIID_Dango	丸子兄弟
MIID_H_Dango	散發甜甜香氣的短劍。\n可當成道具回復自身HP，\n使用後則會消失。
MIID_Cupcake	午茶時光
MIID_H_Cupcake	散發甜甜香氣的魔法之杖。\n可回復我方單位的HP。
MIID_Rollcake	蛋糕體術
MIID_H_Rollcake	散發甜甜香氣的格鬥術秘笈。\n可當成道具回復自身HP，\n使用後則會消失。
MIID_Bullet_Power	普通炮彈
MIID_H_Bullet_Power	標準的炮彈。\n不可追擊/距離對方越遠，命中越低。
MIID_Bullet_Magic	魔法炮彈
MIID_H_Bullet_Magic	挾裹著魔力的炮彈。\n不可追擊/距離對方越遠，命中越低。
MIID_Bullet_Freeze	冰封炮彈
MIID_H_Bullet_Freeze	能牽制敵人的魔法炮彈。\n不可追擊/距離對方越遠，命中越低。\n命中時有50%機率\n使對方陷入冰封狀態。
MIID_Bullet_Silence	沉默炮彈
MIID_H_Bullet_Silence	擁有封魔力量的魔法炮彈。\n不可追擊/距離對方越遠，命中越低。\n命中時有50%機率\n使對方陷入沉默狀態。
MIID_Bullet_Collapse	打破炮彈
MIID_H_Bullet_Collapse	擁有神奇力量的魔法炮彈。\n不可追擊/距離對方越遠，命中越低。\n命中時有50%機率\n使對方陷入打破狀態。
MIID_Bullet_Poison	毒炮彈
MIID_H_Bullet_Poison	含有劇毒的魔法炮彈。\n不可追擊/距離對方越遠，命中越低。\n命中時會使對方陷入劇毒狀態。
MIID_Bullet_Slayer_Fly	龍捲風炮彈
MIID_H_Bullet_Slayer_Fly	專門用於對付飛行敵人的炮彈。\n不可追擊/距離對方越遠，命中越低。\n克制飛行。
MIID_Bullet_Slayer_Armor	重擊炮彈
MIID_H_Bullet_Slayer_Armor	專門用於對付重裝敵人的炮彈。\n不可追擊/距離對方越遠，命中越低。\n克制重裝。
MIID_Bullet_Slayer_Horse	沉重炮彈
MIID_H_Bullet_Slayer_Horse	專門用於對付騎馬敵人的炮彈。\n不可追擊/距離對方越遠，命中越低。\n克制騎馬。
MIID_Bullet_Slayer_Dragon	破壞炮彈
MIID_H_Bullet_Slayer_Dragon	專門用於對付龍的炮彈。\n不可追擊/距離對方越遠，命中越低。\n克制龍。
MIID_Bullet_Slayer_Morph	和平炮彈
MIID_H_Bullet_Slayer_Morph	專門用於對付異形敵人的炮彈。\n不可追擊/距離對方越遠，命中越低。\n克制異形。
MIID_Bullet_Power+	實心炮彈
MIID_H_Bullet_Power+	威力強大的炮彈。\n不可追擊/距離對方越遠，命中越低。
MIID_Bullet_Magic+	增幅炮彈
