MID_FOOD_RESULT	\x0E\x01\x00\x00\x0E\x01\x01\x00
MID_FOODRANK_Superb	極好的
MID_FOODRANK_Delicious	美味的
MID_FOODRANK_Growling	讚不絕口的
MID_FOODRANK_Melt	入口即化的
MID_FOODRANK_HighKing	霸王的
MID_FOODRANK_HolyMother	聖母的
MID_FOODRANK_Courage	勇氣的
MID_FOODRANK_Wisdom	睿智的
MID_FOODRANK_Chalk	白堊的
MID_FOODRANK_Mens	不精緻的
MID_FOODRANK_ForBoys	令人著迷的
MID_FOODRANK_Woman	大膽的
MID_FOODRANK_ForGirls	細緻的
MID_FOODRANK_Adult	大人的
MID_FOODRANK_Child	小孩的
MID_FOODRANK_Your	你的
MID_FOODRANK_Discerning	講究的
MID_FOODRANK_Whimsical	反覆無常的
MID_FOODRANK_Rich	濃厚的
MID_FOODRANK_Refreshing	清爽的
MID_FOODRANK_Sharp	均衡的
MID_FOODRANK_Friendly	溫柔的
MID_FOODRANK_BrodiaStyle	布羅帝亞風格的
MID_FOODRANK_FileneStyle	費列聶風格的
MID_FOODRANK_SolumStyle	索爾姆風格的
MID_FOODRANK_IrcionStyle	伊爾席翁風格的
MID_FOODRANK_LithosStyle	里特司風格的
MID_FOODRANK_Wild	充滿野趣的
MID_FOODRANK_Exciting	豪爽的
MID_FOODRANK_CarefullySelected	嚴選的
MID_FOODRANK_Fresh	新鮮的
MID_FOODRANK_Spicy	特辣的
MID_FOODRANK_Hot	辣的
MID_FOODRANK_Bitter	苦的
MID_FOODRANK_Bittersweet	微苦的
MID_FOODRANK_SuperSweet	超甜的
MID_FOODRANK_Sweet	甜的
MID_FOODRANK_Chewy	有咬勁的
MID_FOODRANK_Hard	較硬的
MID_FOODRANK_Habit	會上癮的
MID_FOODRANK_Smart	奇妙的
MID_FOODRANK_Normal	普通的
MID_FOODRANK_Mistake	哪裡弄錯了的
MID_FOODRANK_Shortage	缺少各種東西的
MID_FOODRANK_DifferentStar	來自不同星星的
MID_FOODRANK_DefinitelySuffer	令人窒息的
MID_FOODRANK_Carbonization	焦掉的
MID_FOOD_OnionSoup	洋蔥湯
MID_FOOD_H_OnionSoup	僅使用洋蔥、水、調味料煮成的簡易湯品。
MID_FOOD_ConsommeSoup	豆子蔬菜清湯
MID_FOOD_H_ConsommeSoup	加入厚切培根、蔬菜、豆子，\n慢慢熬煮而成的清湯。\n湯頭的基底則因人而異。
MID_FOOD_DumplingsOfMeat	肉餡餃子
