MID_BONDSRING_H_CommonTytle	「登場作品」
MID_BONDSRING_HELP	與紋章士\x0E\x01\x00\x00密不可分，\n蘊藏英雄之力的戒指。\n能賦予配戴者力量。
MID_BONDSRING_HELP_Special	蘊藏特別英雄之力的戒指。\n能賦予配戴者力量。
MID_BONDSRING_Marth00	異界阿卡奈亞陸地中\n阿利提亞王國的王子。
MID_BONDSRING_Marth01	深具領袖魅力，\n率夥伴合力對抗暗黑龍梅迪烏斯。
MID_BONDSRING_Seeda	希達
MID_BONDSRING_H_Seeda00	異界阿卡奈亞陸地中\n塔利斯王國的公主。
MID_BONDSRING_H_Seeda01	馳騁於沙場上，個性活潑的女天馬騎士，\n獨具魅力、討人喜愛。
MID_BONDSRING_H_Seeda02	與逃亡的馬爾斯結識後，\n一路扶持他，並成為他的未婚妻。
MID_BONDSRING_H_Seeda03	《暗黒竜と光の剣》《紋章の謎》等
MID_BONDSRING_Tiki	琪姬
MID_BONDSRING_H_Tiki00	異界英雄之一，神龍族公主。
MID_BONDSRING_H_Tiki01	將龍之力封印於石頭後化為人形的\n「龍族」之一。
MID_BONDSRING_H_Tiki02	曾遭到魔王加內夫操控，\n受到馬爾斯救助，成為他可靠的夥伴。
MID_BONDSRING_H_Tiki03	《暗黒竜と光の剣》《紋章の謎》等
MID_BONDSRING_Minerba	米奈娃
MID_BONDSRING_H_Minerba00	異界阿卡奈亞陸地中\n馬其頓王國的公主。
MID_BONDSRING_H_Minerba01	既高貴又英勇的女性，\n別名「赤色龍騎士」。
MID_BONDSRING_H_Minerba02	為了整頓與多魯亞帝國聯手的祖國，\n不惜背叛出走，與之對戰。
MID_BONDSRING_H_Minerba03	《暗黒竜と光の剣》《紋章の謎》等
MID_BONDSRING_Nabarl	拿巴爾
MID_BONDSRING_H_Nabarl00	異界英雄之一，\n人稱「赤色劍士」的用劍好手。
MID_BONDSRING_H_Nabarl01	曾經是盜賊的護衛，\n手持「必殺劍」與馬爾斯為敵。
MID_BONDSRING_H_Nabarl02	拿女性沒轍，\n曾說過「不砍女人」。
MID_BONDSRING_H_Nabarl03	《暗黒竜と光の剣》《紋章の謎》等
MID_BONDSRING_Oguma	奧古馬
MID_BONDSRING_H_Oguma00	異界英雄之一，\n侍奉塔利斯王室的傭兵隊隊長。
MID_BONDSRING_H_Oguma01	驍勇剽悍、身經百戰的勇士，\n過去曾是名劍鬥士。
MID_BONDSRING_H_Oguma02	劍鬥士時期蒙受希達公主的救命之恩，\n自此對希達尊敬愛慕、忠心不二。
MID_BONDSRING_H_Oguma03	《暗黒竜と光の剣》《紋章の謎》等
MID_BONDSRING_Katarina	卡達麗娜
MID_BONDSRING_H_Katarina00	異界英雄之一，見習少女軍師。
MID_BONDSRING_H_Katarina01	為侍奉馬爾斯而造訪阿利提亞城，\n並與克里斯一起加入第七小隊。
MID_BONDSRING_H_Katarina02	個性穩重，為夥伴著想，\n但是胸懷不為人知的秘密。
MID_BONDSRING_H_Katarina03	《新・紋章の謎》
MID_BONDSRING_Marich	馬利克
MID_BONDSRING_H_Marich00	異界英雄之一，\n人稱「風之魔道士」的魔道天才。
MID_BONDSRING_H_Marich01	在魔道都市卡達因留學，\n後來繼承高等風魔法「埃克斯卡利伯」。
MID_BONDSRING_H_Marich02	出身自阿利提亞王國的貴族，\n是馬爾斯王子的兒時玩伴。
MID_BONDSRING_H_Marich03	《暗黒竜と光の剣》《紋章の謎》等
MID_BONDSRING_Rinda	琳達
MID_BONDSRING_H_Rinda00	異界英雄之一，擁有過人魔道天賦的少女。
MID_BONDSRING_H_Rinda01	阿卡奈亞王國大祭司米羅亞的女兒，\n個性強勢。
MID_BONDSRING_H_Rinda02	繼承亡父的高級光魔法「輝光」後，\n藉此向加內夫復仇。
MID_BONDSRING_H_Rinda03	《暗黒竜と光の剣》《紋章の謎》等
MID_BONDSRING_Kris	克里斯
MID_BONDSRING_H_Kris00	異界英雄之一，馬爾斯的護衛騎士。
MID_BONDSRING_H_Kris01	來自阿利提亞王國，\n原隸屬第七小隊，後成為騎士。
MID_BONDSRING_H_Kris02	從此保護馬爾斯征戰各地，\n陪伴他四處奮戰的幕後英雄。
MID_BONDSRING_H_Kris03	《新・紋章の謎》
MID_BONDSRING_Roro	羅羅
MID_BONDSRING_H_Roro00	異界英雄之一，隸屬暗殺集團的狂戰士。
MID_BONDSRING_H_Roro01	總是戴著古怪的面具，\n戰鬥時會發出詭異的笑聲。
MID_BONDSRING_H_Roro02	有眾多外貌一模一樣的「兄弟」，\n會齊心協力暗殺目標。
MID_BONDSRING_H_Roro03	《新・紋章の謎》
MID_BONDSRING_Siglud00	異界尤格多拉爾陸地中\n格蘭貝魯王國的希亞費公爵家勳爵。
MID_BONDSRING_Siglud01	遭信奉暗黑神羅普托烏斯的教團陷害而喪命，\n由兒子繼承其遺志。
MID_BONDSRING_Ira	艾伊拉
MID_BONDSRING_H_Ira00	異界尤格多拉爾陸地中\n伊扎克王國的公主。
MID_BONDSRING_H_Ira01	劍術優異的女劍士，\n與西格爾特一同奮戰。
MID_BONDSRING_H_Ira02	承襲了劍聖──聖戰士奧德的血脈，\n能爐火純青地施展必殺奧義「流星劍」。
MID_BONDSRING_H_Ira03	《聖戦の系譜》
MID_BONDSRING_Arden	亞丹
MID_BONDSRING_H_Arden00	異界英雄之一，\n侍奉西格爾特的重裝騎士。
MID_BONDSRING_H_Arden01	隸屬希亞費公爵家旗下的\n「翠綠騎士團」。
MID_BONDSRING_H_Arden02	戰力高卻缺乏機動性，\n身邊的人都調侃他「又硬、又強、又慢」。
MID_BONDSRING_H_Arden03	《聖戦の系譜》
MID_BONDSRING_Celice	賽列斯
MID_BONDSRING_H_Celice00	異界英雄之一，\n人稱「光之勳爵」的青年。
MID_BONDSRING_H_Celice01	西格爾特與迪雅朵拉之子，\n繼承聖戰士巴爾德的血脈。
MID_BONDSRING_H_Celice02	率領叛軍反抗格蘭貝魯帝國，\n成為尤格多拉爾陸地的救世主。
MID_BONDSRING_H_Celice03	《聖戦の系譜》《トラキア776》
MID_BONDSRING_Levn	雷文
MID_BONDSRING_H_Levn00	異界尤格多拉爾陸地中\n西里西亞王國的王子。
MID_BONDSRING_H_Levn01	傳承風使賽提血脈的聖戰士後裔，\n繼承了「風魔法弗魯賽提」。
MID_BONDSRING_H_Levn02	與西格爾特並肩作戰，西格爾特喪命後，\n仍繼續守護其子賽列斯。
MID_BONDSRING_H_Levn03	《聖戦の系譜》《トラキア776》
MID_BONDSRING_Rackesis	拉克西絲
MID_BONDSRING_H_Rackesis00	異界尤格多拉爾陸地中\n諾狄恩王國的公主。
MID_BONDSRING_H_Rackesis01	獅子王艾爾多尚的妹妹，\n美麗動人、品行高尚。
MID_BONDSRING_H_Rackesis02	在他心目中，哥哥是最完美的男人。\n兄妹倆手足情深，於民間傳為佳話。
MID_BONDSRING_H_Rackesis03	《聖戦の系譜》
MID_BONDSRING_Cuan	喬安
MID_BONDSRING_H_Cuan00	異界尤格多拉爾陸地中\n倫斯特王國的王子。
MID_BONDSRING_H_Cuan01	傳承槍騎士諾華血脈的聖戰士後裔，\n繼承了「地槍蓋伯爾加」。
MID_BONDSRING_H_Cuan02	西格爾特就讀士官學校時結識的朋友，\n重視友情、富有正義感。
MID_BONDSRING_H_Cuan03	《聖戦の系譜》
MID_BONDSRING_Diadora	迪雅朵拉
MID_BONDSRING_H_Diadora00	異界英雄之一，來自精靈森林的巫女。
MID_BONDSRING_H_Diadora01	被禁止與人接觸，\n但與西格爾特勳爵相識後結為夫妻。
MID_BONDSRING_H_Diadora02	育有一子賽列斯，原本過著幸福無憂的生活，\n卻遭到暗黑教團迫害，最終以悲劇收場。
MID_BONDSRING_H_Diadora03	《聖戦の系譜》
MID_BONDSRING_Ethlin	艾絲琳
MID_BONDSRING_H_Ethlin00	異界尤格多拉爾陸地中\n格蘭貝魯王國希亞費公爵家的女爵。
