MID_PLACE_Filene	費列聶
MID_PLACE_Brodia	布羅帝亞
MID_PLACE_Ircion	伊爾席翁
MID_PLACE_Solum	索爾姆
MID_PLACE_Lithos	里特司
MID_PLACE_Gradron	古拉鐸隆
MCID_M000_PREFIX	序章
MCID_M000	紋章士
MCID_M000_PLACE	神龍王城
MCID_M001_PREFIX	第1章
MCID_M001	甦醒
MCID_M001_PLACE	里特司草原
MCID_M002_PREFIX	第2章
MCID_M002	神龍王琉彌艾爾
MCID_M002_PLACE	神龍王城庭園
MCID_M003_PREFIX	第3章
MCID_M003	襲擊者
MCID_M003_PLACE	紋章戒指之間
MCID_M004_PREFIX	第4章
MCID_M004	花之風車村
MCID_M004_PLACE	弗魯魯風車村
MCID_M005_PREFIX	第5章
MCID_M005	奪回王城
MCID_M005_PLACE	費列聶城
MCID_M005_OUTLINE	聽聞伊爾席翁軍已攻進費列聶城，\n神龍軍立即趕向王城，保護伊芙女王。
MCID_M006_PREFIX	第6章
MCID_M006	被奪走的戒指
MCID_M006_PLACE	山道聚落
MCID_M006_OUTLINE	一行人順利守住費列聶王城後，\n動身前往保管「拂曉巫女戒指」的祠堂。
MCID_M007_PREFIX	第7章
MCID_M007	暗黑紋章士
MCID_M007_PLACE	古蘭斯爾大橋
MCID_M007_OUTLINE	為了求取交由布羅帝亞王國保管的戒指，\n神龍軍一行人打算跨越國境。
MCID_M008_PREFIX	第8章
MCID_M008	英勇尚武的王國
MCID_M008_PLACE	布羅帝亞城
MCID_M008_OUTLINE	神龍軍瓦解了伊爾席翁軍的急襲，\n順利抵達目的地布羅帝亞城。
MCID_M009_PREFIX	第9章
MCID_M009	衝突
MCID_M009_PLACE	國境堡壘
MCID_M009_OUTLINE	莫力翁王與神龍軍接受海亞信斯王的宣戰，\n前往布羅帝亞與伊爾席翁的國境交界處。
MCID_M010_PREFIX	第10章
MCID_M010	邪龍尚卜爾
MCID_M010_PLACE	德斯坦大教會
MCID_M010_OUTLINE	為了救出遭擄走的莫力翁王，\n神龍軍趕往位於伊爾席翁境內的教會。
MCID_M011_PREFIX	第11章
MCID_M011	撤退
MCID_M011_PLACE	影子原野
MCID_M012_PREFIX	第12章
MCID_M012	沙漠自衛團
MCID_M012_PLACE	圖拉沙漠
MCID_M012_OUTLINE	戒指被貝珥奪走後，為重整旗鼓，\n神龍軍決心直奔索爾姆王國。
MCID_M013_PREFIX	第13章
MCID_M013	綠洲勇者
MCID_M013_PLACE	綠洲之鄉
MCID_M013_OUTLINE	為了尋找持有「蒼炎勇者戒指」的\n蜜絲提拉，神龍軍動身前往綠洲。
MCID_M014_PREFIX	第14章
MCID_M014	索爾姆攻防戰
MCID_M014_PLACE	索爾姆城
MCID_M014_OUTLINE	奧爾坦希亞率兵攻打索爾姆王城，\n接獲通報的神龍軍急忙回城支援。
MCID_M015_PREFIX	第15章
MCID_M015	廢墟的舞蹈家
MCID_M015_PLACE	北城塞
MCID_M015_OUTLINE	索爾姆王城一役結束後，神龍軍前往\n「選擇未來之人戒指」所在的城塞。
MCID_M016_PREFIX	第16章
MCID_M016	穿越海岸線
MCID_M016_PLACE	紺碧海岸
MCID_M016_OUTLINE	正當神龍軍甫於城塞收回新戒指，\n眾人商討往後計策之際，收到了一則消息。
MCID_M017_PREFIX	第17章
MCID_M017	粉碎的和平
MCID_M017_PLACE	弗魯魯港
MCID_M017_OUTLINE	神龍軍緊追駛向費列聶的伊爾席翁軍艦，\n最終抵達了弗魯魯港。
MCID_M018_PREFIX	第18章
MCID_M018	冰冷的航線
MCID_M018_PLACE	伊爾席翁航路
MCID_M018_OUTLINE	得知貝珥不為人知的真相後，\n神龍軍動身前往邪龍的所在地伊爾席翁。
MCID_M019_PREFIX	第19章
MCID_M019	死之海港
MCID_M019_PLACE	吉布爾港
MCID_M019_OUTLINE	神龍軍擊退埋伏於海上的刺客後，\n抵達了伊爾席翁的繁榮海港。
MCID_M020_PREFIX	第20章
MCID_M020	無王之城
MCID_M020_PLACE	伊爾席翁城
MCID_M020_OUTLINE	順利擊敗瑪倫與莫布並成功奪回戒指，\n神龍軍總算得以前往伊爾席翁城。
MCID_M021_PREFIX	第21章
MCID_M021	歸來
MCID_M021_PLACE	神龍王城
MCID_M021_OUTLINE	從孤慄口中得知了真相的神龍一行人，\n緊追邪龍的腳步，前往里特司的神龍王城。
MCID_M022_PREFIX	第22章
MCID_M022	神龍與邪龍
MCID_M022_PLACE	神龍王城
MCID_M023_PREFIX	第23章
MCID_M023	四狗
MCID_M023_PLACE	熔岩地帶
MCID_M023_OUTLINE	為了解除艾雷歐斯上空的結界，\n神龍軍造訪某個刻有邪龍紋的地區。
MCID_M024_PREFIX	第24章
MCID_M024	回憶
MCID_M024_PLACE	高山地帶
MCID_M024_OUTLINE	神龍軍從賽皮雅手中拿到魔法器具後，\n前往據傳刻有第二個邪龍紋的湖泊。
MCID_M025_PREFIX	第25章
MCID_M025	最後的門衛
MCID_M025_PLACE	古拉鐸隆神殿
MCID_M025_OUTLINE	神龍遇見了千年前的自己。\n僅差最後一個邪龍紋，但在那的卻是……
MCID_M026_PREFIX	第26章
MCID_M026	最終結合
MCID_M026_PLACE	異界之門
MCID_S001_PREFIX	外傳
MCID_S001	大器晚成
MCID_S001_PLACE	茶園之鄉
MCID_S001_OUTLINE	和平的茶園之鄉遭遇異形兵突襲。\n神龍軍聞訊後立即前去營救村民。
MCID_S002_PREFIX	外傳
MCID_S002	秘密的旅行商人
MCID_S002_PLACE	盜賊團秘密基地
MCID_S002_OUTLINE	神龍軍發現了盜賊團的據點。\n在那有位覬覦寶藏的小訪客……
MCID_S003_PREFIX	外傳
MCID_S003	聖公主
MCID_S003_PLACE	眾神鬥技場
MCID_S003_OUTLINE	與紋章士露琪娜淵源深厚之地。\n將於此面臨一場試煉。
MCID_S004_PREFIX	外傳
MCID_S004	草原女爵
MCID_S004_PLACE	疾風草原
MCID_S004_OUTLINE	與紋章士琳淵源深厚之地。\n將於此面臨一場試煉。
MCID_S005_PREFIX	外傳
MCID_S005	蒼炎勇者
MCID_S005_PLACE	希望堡壘
MCID_S005_OUTLINE	與紋章士艾克淵源深厚之地。\n將於此面臨一場試煉。
MCID_S006_PREFIX	外傳
MCID_S006	引領者
MCID_S006_PLACE	神聖墓地
MCID_S006_OUTLINE	與紋章士貝雷特淵源深厚之地。\n將於此面臨一場試煉。
MCID_S007_PREFIX	外傳
MCID_S007	選擇未來之人
MCID_S007_PLACE	命運岔路
MCID_S007_OUTLINE	與紋章士神威淵源深厚之地。\n將於此面臨一場試煉。
MCID_S008_PREFIX	外傳
MCID_S008	碧綠風空
MCID_S008_PLACE	魔之遺跡
MCID_S008_OUTLINE	與紋章士艾莉可淵源深厚之地。\n將於此面臨一場試煉。
MCID_S009_PREFIX	外傳
MCID_S009	聖戰騎士
MCID_S009_PLACE	光與闇的大河
MCID_S009_OUTLINE	與紋章士西格爾特淵源深厚之地。\n將於此面臨一場試煉。
MCID_S010_PREFIX	外傳
MCID_S010	賢王
MCID_S010_PLACE	連綿橋
MCID_S010_OUTLINE	與紋章士里弗淵源深厚之地。\n將於此面臨一場試煉。
MCID_S011_PREFIX	外傳
MCID_S011	拂曉巫女
MCID_S011_PLACE	結凍堡壘
MCID_S011_OUTLINE	與紋章士米卡雅淵源深厚之地。\n將於此面臨一場試煉。
MCID_S012_PREFIX	外傳
MCID_S012	幼獅
MCID_S012_PLACE	封印大地
MCID_S012_OUTLINE	與紋章士羅伊淵源深厚之地。\n將於此面臨一場試煉。
MCID_S013_PREFIX	外傳
MCID_S013	慈悲公主
MCID_S013_PLACE	忘卻祠堂
MCID_S013_OUTLINE	與紋章士賽莉卡淵源深厚之地。\n將於此面臨一場試煉。
MCID_S014_PREFIX	外傳
MCID_S014	英雄王
MCID_S014_PLACE	英雄城跡
MCID_S014_OUTLINE	與紋章士馬爾斯淵源深厚之地。\n將於此面臨一場試煉。
MCID_S015_PREFIX	外傳
MCID_S015	編織者
MCID_S015_PLACE	回憶庭園
MCID_S015_OUTLINE	令人聯想到神龍王城庭園之地。\n有枚神秘戒指被安放於此。
MID_ENCOUNT	遭遇戰
MID_ENCOUNT_TRAINING	訓練
MID_RULE_Title	勝利條件
MID_RULE_Title_LOSE	敗北條件
MID_RULE_ANNIHILATE	擊敗所有敵人
MID_RULE_DESTROY_BOSS	擊敗敵方將領
MID_RULE_DESTROY_BOSS_TURN	於\x0E\x01\x00\x00回合以內擊敗敵方將領
MID_RULE_SURVIVE_TURN	於\x0E\x01\x00\x00回合內存活
MID_RULE_COMMON_LOSE	\x0E\x06\x03\x00被擊敗
MID_RULE_WANNIHILATION_LOSE	我方單位全數被擊敗
MID_RULE_M000_WIN	擊敗敵人
MID_RULE_M001_WIN	擊敗所有敵人
MID_RULE_M002_WIN	擊敗琉彌艾爾
MID_RULE_M003_WIN	擊敗所有敵人
MID_RULE_M004_WIN	擊敗羅丹
MID_RULE_M005_WIN	擊敗聶爾凱
MID_RULE_M006_WIN	擊敗堤藍達
MID_RULE_M006_LOSE	\x0E\x06\x03\x00或尤娜卡被擊敗
MID_RULE_M007_WIN	擊敗奧爾坦希亞
MID_RULE_M008_WIN	擊敗艾比
MID_RULE_M008_LOSE	\x0E\x06\x03\x00被擊敗或防衛地點遭到入侵
MID_RULE_M009_WIN	擊敗艾比
MID_RULE_M010_WIN	擊敗海亞信斯、異形莫力翁
MID_RULE_M011_WIN	\x0E\x06\x03\x00成功撤離戰場
MID_RULE_M012_WIN	擊敗所有敵人
MID_RULE_M013_WIN	擊敗鐵茲、拓茲
MID_RULE_M014_WIN	擊敗奧爾坦希亞、賽皮雅、瑪倫、莫布
MID_RULE_M015_WIN	賽安達斯成功撤離戰場
MID_RULE_M015_LOSE	\x0E\x06\x03\x00或賽安達斯被擊敗
MID_RULE_M016_WIN	擊敗瑪倫、莫布
MID_RULE_M017_WIN	擊敗6名敵方將領
MID_RULE_M018_WIN	擊敗亞彪姆
MID_RULE_M019_WIN	擊敗瑪倫、莫布
MID_RULE_M020_WIN	擊敗孤慄
MID_RULE_M021_WIN	擊敗貝珥
MID_RULE_M022_WIN	收回所有紋章士戒指
MID_RULE_M023_WIN	擊敗賽皮雅、孤慄
MID_RULE_M024_WIN	擊敗過去的\x0E\x06\x03\x00
MID_RULE_M024_LOSE	\x0E\x06\x03\x00被擊敗或超過\x0E\x01\x00\x00回合
MID_RULE_M025_WIN	擊敗異形琉彌艾爾
MID_RULE_M026_WIN	擊敗尚卜爾
MID_RULE_S001_WIN	擊敗所有敵人
MID_RULE_S002_WIN	擊敗米坦
MID_RULE_S003_WIN	戰勝紋章士露琪娜
MID_RULE_S004_WIN	戰勝紋章士琳
MID_RULE_S005_WIN	戰勝紋章士艾克
MID_RULE_S006_WIN	戰勝紋章士貝雷特
MID_RULE_S007_WIN	戰勝紋章士神威
MID_RULE_S008_WIN	戰勝紋章士艾莉可
MID_RULE_S009_WIN	戰勝紋章士西格爾特
MID_RULE_S010_WIN	戰勝紋章士里弗
MID_RULE_S011_WIN	戰勝紋章士米卡雅
MID_RULE_S011_LOSE	\x0E\x06\x03\x00被擊敗或防衛地點遭到入侵
MID_RULE_S012_WIN	戰勝紋章士羅伊
MID_RULE_S013_WIN	戰勝紋章士賽莉卡
