MID_SYS_EnchantEffect	附魔效果
MID_DLC_News_Patch1_Title	Ver.1.2.0 更新內容
MID_DLC_News_Patch1	【擴充票】\n\n・已新增紋章士海克托爾、紋章士塞涅里歐、紋章士卡美拉\n　過關他們各自的新戰鬥地圖後，該紋章士就會成為夥伴。\n\n・已新增擴充票購買特典2\n　可領取鍛造材料、武器及特技之書等道具。\n\n・已新增新的裝飾品\n　到裝飾品店即可領取\n　　「守護神配對套裝」、「守護神尊容」、\n　　「守護神耳朵」、「狗耳朵」、\n　　「兔耳朵」、「狐狸耳朵」。\n\n【免費更新】\n\n・據點設施已新增「放鬆身心」\n　使用該項目即可提升夥伴的支援值。\n
MID_MSG_GET_ITEM_DLC_Accessory2	已領取擴充票購買特典2。
MCID_G002_PREFIX	神龍之章
MCID_G002	熱血猛將
MCID_G002_PLACE	狂戰士洞穴
MCID_G002_OUTLINE	據說有人在瘴氣瀰漫的陰暗洞穴中，\n發現了新的手鐲。
MCID_G004_PREFIX	神龍之章
MCID_G004	蒼色參謀
MCID_G004_PLACE	灼熱焦土
MCID_G004_OUTLINE	據說有人在周圍滿是灼熱熔岩流的\n岩山洞窟內，發現了新的手鐲。
MCID_G005_PREFIX	神龍之章
MCID_G005	黑暗妖豔
MCID_G005_PLACE	黃昏水都
MCID_G005_OUTLINE	據說有人在被世人遺忘且遍布下水道的\n廢棄都市裡，發現了新的手鐲。
MID_RULE_G002_WIN	戰勝紋章士海克托爾
MID_RULE_G004_WIN	戰勝紋章士塞涅里歐
MID_RULE_G005_WIN	戰勝紋章士卡美拉
MTID_VolcanicBombTraces	焦痕
MTID_Fumarole	噴氣孔
MTID_Crater	噴火口
MPID_Hector	海克托爾
MPID_H_Hector	人稱「天雷紋章士」。\n是位充滿自信且勇敢善戰的豪爽青年。
MPID_Senerio	塞涅里歐
MPID_H_Senerio	人稱「賢風紋章士」。\n是位做事沉著，能冷靜下判斷的黑衣參謀。
MPID_Camilla	卡美拉
MPID_H_Camilla	人稱「暗夜紋章士」。\n是位非常妖豔的美麗魔龍騎士。
MGID_Hector	海克托爾
MGID_H_Hector	人稱「天雷紋章士」。\n是位充滿自信且勇敢善戰的豪爽青年。\n會為了夥伴挺身而出，揮斧即可橫掃千軍。
MGID_H_EnemyHector	從「熱血猛將的手鐲」中甦醒的紋章士。
MGID_Senerio	塞涅里歐
MGID_H_Senerio	人稱「賢風紋章士」。\n是位做事沉著，能冷靜下判斷的黑衣參謀。\n擅長魔道，精通高等魔法。
MGID_H_EnemySenerio	從「蒼色參謀的手鐲」中甦醒的紋章士。
MGID_Camilla	卡美拉
MGID_H_Camilla	人稱「暗夜紋章士」。\n是位非常妖豔的美麗魔龍騎士。\n會在空中飛舞，以斧與魔法葬送敵人。
MGID_H_EnemyCamilla	從「黑暗妖豔的手鐲」中甦醒的紋章士。
MGEID_Hector	天雷紋章
MGEID_Senerio	賢風紋章
MGEID_Camilla	暗夜紋章
MJID_Enchant	附魔師
MJID_H_Enchant	靈活運用道具作戰的軍醫。\n除了能使用運輸隊，還擅長以戰術支援夥伴。
MIID_Hector_WolfBeil	沃夫拜爾
MIID_H_Hector_WolfBeil	紋章士海克托爾的斧。\n克制騎馬/克制重裝。
MIID_Hector_Runesword	盧恩劍
MIID_H_Hector_Runesword	紋章士海克托爾的魔法劍。\n攻擊時可回復自身HP，\n回復量為造成傷害的50%，\n並能以魔法攻擊遠方敵人。
MIID_Hector_Armads	阿爾瑪茲
MIID_H_Hector_Armads	紋章士海克托爾的天雷之斧。\n防守+5/克制龍。
MIID_Senerio_Thunderstorm	雷暴
MIID_H_Senerio_Thunderstorm	紋章士塞涅里歐的長射程雷魔法。\n不可追擊。
MIID_Senerio_MagicShield	魔法防護罩
MIID_H_Senerio_MagicShield	紋章士塞涅里歐的魔法之杖。\n周圍2格內的我方單位受到魔法攻擊時，\n可將所受傷害的50%反擊給對方，\n效果持續1回合。
MIID_Senerio_Rexcalibur	列克斯卡利伯
MIID_H_Senerio_Rexcalibur	紋章士塞涅里歐最高等的風魔法。\n克制飛行。
MIID_Senerio_Disaster	災厄
MIID_H_Senerio_Disaster	紋章士塞涅里歐的連續攻擊魔法。\n能對範圍內的敵人發動40%傷害的\n炎、雷、風（克制飛行）連續魔法攻擊。
MIID_Camilla_BoltAxe	閃雷斧
MIID_H_Camilla_BoltAxe	紋章士卡美拉的魔法斧。\n能攻擊遠方敵人。
MIID_Camilla_Lightning	閃電
MIID_H_Camilla_Lightning	紋章士卡美拉的魔法。\n由自身發動攻擊時，連續攻擊2次。
MIID_Camilla_Camilla'sAxe	卡美拉的豔斧
MIID_H_Camilla_Camilla'sAxe	紋章士卡美拉的斧。\n魔防+10/將對方的（魔防-防守）\n加計至傷害。
MIID_HE_Vulnerary	可回復自身與周圍2格內\n我方單位15HP。
MIID_HE_Antidote	可回復自身與相鄰我方單位的\n異常狀態。
MIID_HE_Medicine	自身與相鄰我方單位的\n結合計量條+2。
MIID_HE_HolyWater	可賦予自身與相鄰我方單位\n克制異形，效果持續1回合。
MIID_HE_Torch	可賦予自身與相鄰我方單位\n火把效果。（可照亮周圍7格，\n每回合逐漸縮小）
MIID_HE_HpTonic	自身與相鄰我方單位\n不會受到敵人的連鎖攻擊傷害，\n並依等級提升HP最大值，\n效果持續1回合。
MIID_HE_StrTonic	自身與相鄰我方單位的武器重量減半，\n並依等級提升力量，\n效果持續1回合。
MIID_HE_TecTonic	自身與相鄰我方單位受到敵人攻擊時，\n不會陷入打破狀態，並依等級提升技巧，\n效果持續1回合。
MIID_HE_SpdTonic	自身與相鄰我方單位不會陷入冰封狀態，\n並依等級提升速度，\n效果持續1回合。
MIID_HE_LckTonic	自身與相鄰我方單位\n有30%機率使敵人的攻擊無效，\n效果持續1回合。
MIID_HE_DefTonic	自身與相鄰我方單位\n受到敵人的物理攻擊時，\n可將所受傷害反擊給對方，\n效果持續1回合。
MIID_HE_MagTonic	自身與相鄰我方單位不會陷入沉默狀態，\n並依等級提升魔力，\n效果持續1回合。
MIID_HE_MdefTonic	自身與相鄰我方單位\n受到敵人的魔法攻擊時，\n可將所受傷害反擊給對方，\n效果持續1回合。
MIID_HE_Bento	對1名相鄰我方單位賦予效果。戰鬥開始時，\n若該單位的HP為2以上，無論受到多大傷害，\n該單位必定能以1HP的狀態存活下來。\n（此效果發動後即會消失）
MIID_HE_WeaponAvo	戰鬥結束前\n使同名武器的回避提升20。
MIID_HE_WeaponDef	戰鬥結束前\n使同名武器的防守與魔防提升5。
MIID_HE_WeaponCrit	戰鬥結束前\n使同名武器的必殺提升20。
MIID_HE_WeaponAtk	戰鬥結束前\n使同名武器的威力提升5。
MIID_HE_WeaponHit	戰鬥結束前\n使同名武器的命中提升20。
MIID_HE_WeaponAvo_Short	附魔效果：回避+20
MIID_HE_WeaponDef_Short	附魔效果：防守+5、魔防+5
MIID_HE_WeaponCrit_Short	附魔效果：必殺+20
MIID_HE_WeaponAtk_Short	附魔效果：威力+5
MIID_HE_WeaponHit_Short	附魔效果：命中+20
MSID_QuickResponse	回擊
MSID_H_QuickResponse	受到敵人攻擊時\n若自身的HP為80%以上將發動追擊
MSID_QuickResponse+	回擊+
MSID_H_QuickResponse+	受到敵人攻擊時\n若自身的HP為60%以上將發動追擊
MSID_HeavyAttack	重擊
MSID_H_HeavyAttack	發動物理攻擊時\n若裝備的武器重量大於體格\n則將超過的數值加計至傷害\n（上限為+5）
MSID_GazeDiagonally	角之瞪視
MSID_H_GazeDiagonally	可使用「角之瞪視」指令\n在HP為最大值時，消費HP最大值的20%\n阻止敵人進入自身斜角4格範圍內\n效果持續1回合
MSID_H_GazeDiagonally_CMD	防止敵人進入自身斜角4格範圍內。
MSID_WARNING_GazeDiagonally_CMD	HP未達最大值，無法使用。
MSID_Adaptability	適應力
MSID_H_Adaptability	受到敵人攻擊時\n若為物理攻擊，戰鬥後防守+2\n若為魔法攻擊，戰鬥後魔防+2
MSID_Adaptability+	適應力+
MSID_H_Adaptability+	受到敵人攻擊時\n若為物理攻擊，戰鬥後防守+3\n若為魔法攻擊，戰鬥後魔防+3
MSID_HectorEngage	鐵壁
MSID_H_HectorEngage	受到敵人攻擊時，防守、魔防增為130%
MSID_H_HectorEngage_Dragon	受到敵人攻擊時，防守、魔防增為130%\n【龍族】必避增為150%
MSID_H_HectorEngage_Horse	受到敵人攻擊時，防守、魔防增為130%\n【騎馬】使冰封狀態無效
MSID_H_HectorEngage_Heavy	受到敵人攻擊時，防守、魔防增為130%\n【重裝】防守的提升率增為150%
MSID_H_HectorEngage_Fly	受到敵人攻擊時，防守、魔防增為130%\n【飛行】魔防的提升率增為150%
MSID_HectorEngageAtk	止水雷轟架勢
MSID_H_HectorEngageAtk	不會受到敵人追擊或陷入打破狀態\n且自身反擊時將發動追擊，效果持續1回合\n僅限持劍、斧
MSID_H_HectorEngageAtk_Dragon	不會受到敵人追擊或陷入打破狀態\n且自身反擊時將發動追擊，效果持續1回合\n僅限持劍、斧\n【龍族】敵人無法使出必殺攻擊
MSID_H_HectorEngageAtk_Coop	不會受到敵人追擊或陷入打破狀態\n且自身反擊時將發動追擊，效果持續1回合\n僅限持劍、斧\n【連攜】必殺+20
