MBSID_None	無
MBSID_H_None	不屬於任何戰鬥類型
MBSID_Cooperation	連攜
MBSID_H_Cooperation	戰鬥類型【連攜】\n透過連鎖攻擊\n參與射程範圍內的我方戰鬥
MBSID_Horse	騎馬
MBSID_H_Horse	戰鬥類型【騎馬】\n可移動的距離較遠
MBSID_Covert	隱密
MBSID_H_Covert	戰鬥類型【隱密】\n地形效果的回避補正變成兩倍
MBSID_Heavy	重裝
MBSID_H_Heavy	戰鬥類型【重裝】\n使武器互克時的打破效果無效
MBSID_Fly	飛行
MBSID_H_Fly	戰鬥類型【飛行】\n移動時不會受到地形或地形效果影響\n還可在「天空」等地形移動
MBSID_Magic	魔道
MBSID_H_Magic	戰鬥類型【魔道】\n使用魔法發動攻擊時\n令敵方因地形效果獲得的回避補正無效
MBSID_Prana	氣功
MBSID_H_Prana	戰鬥類型【氣功】\n可使用能保護相鄰我方的\n連鎖防禦指令
MBSID_Dragon	龍族
MBSID_H_Dragon	戰鬥類型【龍族】\n結合時必定能獲得附加效果
