MID_Movie_S02	過去決戰
MID_H_Movie_S02	在同伴與紋章士的協助下，\n神龍\x0E\x06\x03\x00一路穿越戰場，\n推開門扉奔赴最後的戰場。
MID_Movie_S03	紋章士合體！
MID_H_Movie_S03	為了打倒敵人，\n神龍\x0E\x06\x03\x00與紋章士馬爾斯結合，\n兩人融為一體。
MID_Movie_S04	英雄王顯現
MID_H_Movie_S04	戒指綻放湛藍光芒後，\n出現一名自稱「紋章士馬爾斯」的劍士，\n他曾與神龍\x0E\x06\x03\x00在夢中並肩作戰。
MID_Movie_S05	和神龍王的邂逅
MID_H_Movie_S05	神龍\x0E\x06\x03\x00被敵方增援逼入絕境之時，\n突然出現一條白色的龍，\n白龍將異形兵一舉殲滅後化成了人型。
MID_Movie_S06	艾雷歐斯大陸敘述
MID_H_Movie_S06	一行人出發前往神龍王城，\n並從琉彌艾爾口中得知艾雷歐斯大陸的歷史，\n以及紋章士等英雄。
MID_Movie_S07	紅色記憶
MID_H_Movie_S07	一段紅髮劍士佇立在王城火窟的記憶，\n劍士沒有回答琉彌艾爾的問題，\n僅露出一抹邪笑。
MID_Movie_S08	阿爾弗雷德
MID_H_Movie_S08	神龍王城遭到神秘團體襲擊陷入一片混亂，\n此時英姿颯爽騎著白馬登場的人\n正是費列聶王國第一王子阿爾弗雷德。
MID_Movie_S09	神龍王逝去
MID_H_Movie_S09	敵方將領以魔法襲擊神龍\x0E\x06\x03\x00，\n琉彌艾爾見狀後便挺身護子，\n在激戰中耗盡全力。
MID_Movie_S10	和貝珥的相遇
MID_H_Movie_S10	神龍\x0E\x06\x03\x00遭遇異形兵突襲，\n此時一名神秘少女現身，\n施放魔法替他解圍。
MID_Movie_S11	帝亞曼德
MID_H_Movie_S11	布羅帝亞王國第一王子帝亞曼德，\n他在布羅帝亞王城的城門前\n迎接神龍\x0E\x06\x03\x00一行人。
MID_Movie_S12	艾比
MID_H_Movie_S12	伊爾席翁王國第一公主艾比，\n他率兵攻入布羅帝亞王城，\n宣告自己奉王命奪取紋章士戒指。
MID_Movie_S13	國境激烈衝突
MID_H_Movie_S13	布羅帝亞與伊爾席翁兩軍激烈交戰，\n海亞信斯王被莫力翁王逼得節節敗退，\n便召喚出暗黑紋章士，扭轉了戰局。
MID_Movie_S14	邪龍尚卜爾
MID_H_Movie_S14	邪龍尚卜爾透過儀式恢復力量，\n但實力仍不及當年，繼而尋求王之血，\n把魔爪伸向海亞信斯王。
MID_Movie_S15	蜜絲提拉
MID_H_Movie_S15	索爾姆王國第一公主蜜絲提拉，\n他帶著「蒼炎勇者」戒指，\n和臣子一同在國內流浪。
MID_Movie_S16	貝珥的心意
MID_H_Movie_S16	貝珥與四狗啟航前往伊爾席翁，\n此時眾人並未察覺貝珥已恢復神志，\n他手執「聖戰騎士戒指」，下了決斷。
MID_Movie_S17	神龍之死
MID_H_Movie_S17	尚卜爾發現貝珥與神龍串通一氣，\n決定斬草除根，在千鈞一髮之際，\n神龍\x0E\x06\x03\x00替貝珥擋下了攻擊。
MID_Movie_S18	古拉鐸隆復活
MID_H_Movie_S18	尚卜爾得到所有戒指後，\n利用戒指之力化身為大邪龍，\n並讓古拉鐸隆之地再次復甦。
MID_Movie_S19	1000年前的記憶
MID_H_Movie_S19	\x0E\x06\x03\x00想起千年前的往事，\n當時城裡烈焰沖天，他把父親尚卜爾逼入絕境，\n才剛使出致命一擊，琉彌艾爾就趕到了。
MID_Movie_S20	新紋章士
MID_H_Movie_S20	神龍\x0E\x06\x03\x00死後仍想繼續奮戰，\n十二名紋章士為實現他的願望，\n賜予他「紋章奇蹟」之力。
MID_Movie_S21	惡夢
MID_H_Movie_S21	神龍\x0E\x06\x03\x00在最終決戰中耗盡全力，\n當他再度甦醒時，眼前站著邪龍尚卜爾與貝珥，\n而鏡中的他卻是……
MID_Movie_S22	再會的預感
MID_H_Movie_S22	戰爭止息後，神龍王城即將舉行加冕儀式。\n神龍\x0E\x06\x03\x00前往戒指之間，\n向紋章士們報告自己將要即位。
MID_Movie_C01	甦醒
MID_H_Movie_C01	神龍\x0E\x06\x03\x00甦醒後，\n隨侍在側的柯嵐與芙嵐感到又驚又喜，\n立刻離開祭壇報告喜訊。
MID_Movie_C02	異形兵
MID_H_Movie_C02	神龍一行人在里特司草原遭到怪物襲擊，\n這群未知的敵軍使眾人不知該如何是好，\n此時柯嵐與芙嵐卻因擅自進攻而陷入險境。
MID_Movie_C03	紋章士
MID_H_Movie_C03	戒指裡傳來了某個人的聲音，\n神龍\x0E\x06\x03\x00想起聲音的主人後，\n隨即高喊咒文，顯現一位紋章士。
MID_Movie_C04	共同戰鬥
MID_H_Movie_C04	與顯現的紋章士馬爾斯並肩作戰後，\n神龍\x0E\x06\x03\x00順利打敗異形兵，\n成功救出柯嵐與芙嵐。
MID_Movie_C05	襲擊者
MID_H_Movie_C05	神龍\x0E\x06\x03\x00聽到爆炸聲，\n便趕往戒指之間，和凡德雷等人會合後，\n才曉得是有心人發動的襲擊。
MID_Movie_C06	龍之時水晶
