MID_WU_C_1_IN_#001	喂。別再貪睡了，神龍。
MID_WU_C_1_SOON_#001	你打呼打得這麼大聲，
MID_WU_C_1_SOON_#002	起床倒是醒得很快啊。
MID_WU_C_1_SOON_#003	嗯？嗯，說你打呼是騙你的。
MID_WU_C_1_SOON_#004	你居然會相信，真是個笨蛋啊。
MID_WU_C_1_WAKEUP_#001	哼，好一個傻乎乎的睡臉呢。
MID_WU_C_1_WAKEUP_#002	雖然吾擁有喚醒紋章士的能力，
MID_WU_C_1_WAKEUP_#003	但在這個世界……也只能用普通方法叫醒他了。
MID_WU_C_1_WAKEUP_#004	喂，快起床。
MID_WU_C_1_HELLO_#001	終於起來啦。
MID_WU_C_1_HELLO_#002	真是的，
MID_WU_C_1_HELLO_#003	沒想到吾來到這個世界還要叫人起床。
MID_WU_C_1_HELLO_#004	既然事情已經辦完，吾要回去了。
MID_WU_C_2_IN_#001	吾特地來叫你起床囉，神龍。
MID_WU_C_2_SOON_#001	哦，你很高興看到吾來了嗎？
MID_WU_C_2_SOON_#002	不過，很可惜……
MID_WU_C_2_SOON_#003	吾事情辦完就要回去了。
MID_WU_C_2_SOON_#004	你說什麼都沒用喔。
MID_WU_C_2_WAKEUP_#001	你也太大意了吧。
MID_WU_C_2_WAKEUP_#002	吾以前可是你的敵人，
MID_WU_C_2_WAKEUP_#003	你居然在吾面前露出這樣的睡臉。
MID_WU_C_2_WAKEUP_#004	如果換作是以前的吾，
MID_WU_C_2_WAKEUP_#005	可不知道會對你做出什麼事喔。
MID_WU_C_2_HELLO_#001	哼，終於起床了啊。
MID_WU_C_2_HELLO_#002	能夠平安無事地醒來，你可要好好感謝吾。
MID_WU_C_2_HELLO_#003	人心隔肚皮，就算是夥伴也要小心……
MID_WU_C_2_HELLO_#004	你應該從吾身上學過這個道理了吧？
MID_WU_B_1_IN_#001	說到喚醒別人的工作……
MID_WU_B_1_IN_#002	吾的確是適合人選。
MID_WU_B_1_IN_#003	不過，就算是這樣……
MID_WU_B_1_SOON_#001	哦哦，你還是做得到嘛。
MID_WU_B_1_SOON_#002	要是能在吾來之前自己起床，
MID_WU_B_1_SOON_#003	那就更好了。
MID_WU_B_1_WAKEUP_#001	唉……負責叫醒神龍……
MID_WU_B_1_WAKEUP_#002	真不懂為何會有這種奇怪的工作。
MID_WU_B_1_WAKEUP_#003	吾可不會像其他人一樣溫柔地叫醒你喔。
MID_WU_B_1_WAKEUP_#004	看吾用龍石……嗯？
MID_WU_B_1_HELLO_#001	你這傢伙還挺機靈的嘛。
MID_WU_B_1_HELLO_#002	要是再晚一點醒來……
MID_WU_B_1_HELLO_#003	你起床第一眼看到的東西，
MID_WU_B_1_HELLO_#004	就會是巨大的邪龍喔。
MID_WU_B_1_HELLO_#005	沒有發生那樣的事，真是太好了呢。
MID_WU_B_2_IN_#001	你還在睡啊。
MID_WU_B_2_IN_#002	真是受不了你這傢伙呢。
MID_WU_B_2_SOON_#001	看在你很快醒來的分上，這次就饒過你吧。
MID_WU_B_2_SOON_#002	要是下次再敢浪費吾的時間……
MID_WU_B_2_SOON_#003	你懂會有什麼下場吧？
MID_WU_B_2_WAKEUP_#001	喂，你有聽到吾之前說的話吧？
MID_WU_B_2_WAKEUP_#002	吾好不容易等到姊姊醒來……
MID_WU_B_2_WAKEUP_#003	現在又要吾等你起床，
MID_WU_B_2_WAKEUP_#004	你可真大膽啊。
MID_WU_B_2_HELLO_#001	早安。
MID_WU_B_2_HELLO_#002	你們這些傢伙，
MID_WU_B_2_HELLO_#003	都把吾的時間當成是什麼了？
MID_WU_B_2_HELLO_#004	算了，跟等待千年的時間相比……
MID_WU_B_2_HELLO_#005	這不過是一瞬間的事情吧。
