MID_BGM_Evt_Amb_Lithos_ST_Play	光之庭園
MID_BGM_Evt_Amb_Lithos_Black_ST_Play	暗之迴廊
MID_BGM_Evt_Amb_Lithos2_ST_Play	聖地里特司
MID_BGM_Evt_Amb_Lithos2_Black_ST_Play	焦土古拉鐸隆
MID_BGM_Evt_Ring_ST_Play	十二道光
MID_BGM_Evt_Tutorial_ST_Play	天倫之樂
MID_BGM_Evt_Advent_Sigurd_ST_Play	繼承、聖戰紋章士
MID_BGM_Evt_Lumiere_Die_ST_Play	打勾勾
MID_BGM_Evt_Amb_Filene_ST_Play	豐饒的費列聶
MID_BGM_Evt_Danger1_ST_Play	危機
MID_BGM_Evt_Danger2_ST_Play	急襲
MID_BGM_Evt_Advent_Cellica_ST_Play	守護、聲響紋章士
MID_BGM_Evt_Brave_ST_Play	甦醒的光芒
MID_BGM_Evt_Veyre_ST_Play	白銀之心
MID_BGM_Evt_Determination_Filene_ST_Play	為和平而揮劍
MID_BGM_Evt_Disturb1_ST_Play	暗影
MID_BGM_Evt_Disturb2_ST_Play	謀略
MID_BGM_Evt_Funny_ST_Play	多多呀比！
MID_BGM_Evt_Advent_Micaiah_ST_Play	救癒、拂曉紋章士
MID_BGM_Evt_Tension1_ST_Play	對峙
MID_BGM_Evt_Tension2_ST_Play	交戰的預兆
MID_BGM_Evt_Amb_Brodia_ST_Play	尚武的布羅帝亞
MID_BGM_Evt_Collide_ST_Play	衝突
MID_BGM_Evt_Appear_Diamand_ST_Play	尚武的王子
MID_BGM_Evt_Advent_Roy_ST_Play	焰向、封印紋章士
MID_BGM_Evt_Appear_Ivy_ST_Play	睿智的公主
MID_BGM_Evt_Advent_Leif_ST_Play	解放、系譜紋章士
MID_BGM_Evt_Determination_Brodia_ST_Play	為榮耀而出征
MID_BGM_Evt_Amb_Ircion_ST_Play	睿智的伊爾席翁
MID_BGM_Evt_Danger_Church_ST_Play	慘劇
MID_BGM_Evt_Veyre_Exposed_ST_Play	蹂躪一切的黑銀
MID_BGM_Evt_Advent_Lucina_ST_Play	燃起、覺醒紋章士
MID_BGM_Evt_Amb_Solum_ST_Play	自由的索爾姆
MID_BGM_Mov_Vigilante_ST_Play	沙漠玫瑰
MID_BGM_Evt_Vigilante_ST_Play	自衛團
MID_BGM_Evt_4ku_ST_Play	邪龍的走狗
MID_BGM_Evt_4ku_Sad_ST_Play	渴望親情
MID_BGM_Evt_Misutira_Song_ST_Play	自由的公主
MID_BGM_Evt_Advent_Ike_ST_Play	勇鬥、蒼炎紋章士
MID_BGM_Evt_Determination_Solum_ST_Play	為自由而竭力
MID_BGM_Evt_Determination_Ircion_ST_Play	為信仰而誓約
MID_BGM_Evt_Advent_Eirika_ST_Play	晴碧、聖魔紋章士
MID_BGM_Evt_Veyre_Truth_ST_Play	墮落之翼
MID_BGM_Evt_Veyre_Sad_ST_Play	深灰色的心意
MID_BGM_Evt_Determination_ST_Play	軍事國家
MID_BGM_Evt_Past_ST_Play	兩個邂逅
MID_BGM_Evt_BlackLumiere_ST_Play	千年的孤獨
MID_BGM_Evt_BlackLumiere_Die_ST_Play	母親……謝謝你……
MID_BGM_Evt_Determination_Last_ST_Play	若有來世
MID_BGM_Evt_26OP_ST_Play	消失的光芒
MID_BGM_Evt_26ED_ST_Play	他的旅途
MID_BGM_Evt_Advent_Lyn_ST_Play	吹翠、烈火紋章士
MID_BGM_Evt_Advent_Byleth_ST_Play	教導、風花紋章士
MID_BGM_Evt_Advent_Corrin_ST_Play	龍穿、選擇紋章士
MID_BGM_Evt_Restart_ST_Play	救世之龍
MID_BGM_Evt_Daily1_ST_Play	談笑
MID_BGM_Evt_Daily2_ST_Play	日常
MID_BGM_Evt_Daily3_ST_Play	平穩
MID_BGM_Evt_Warm_ST_Play	情緒
MID_BGM_Evt_Engage_ST_Play	結合
MID_BGM_Evt_Consultation_ST_Play	商議
MID_BGM_Evt_Kindness_ST_Play	慈愛
MID_BGM_Evt_P05_OP_ST_Play	冰雨
MID_BGM_Evt_NewEmblem_ST_Play	紋章奇蹟
MID_BGM_Evt_Advent_Marth_ST_Play	星炎、初始紋章士
MID_BGM_Evt_Veyre_Truth_CS19_ST_Play	鳴響喪鐘
MID_BGM_Evt_26ED2_ST_Play	溫暖的告別
MID_BGM_Mov_GOP_ST_Play	Emblem Engage!
MID_BGM_Mov_S02_ST_Play	龍之夢境
MID_BGM_Mov_Eleos_ST_Play	艾雷歐斯大陸史
MID_BGM_Mov_Red_ST_Play	紅色記憶
MID_BGM_Mov_Appear_Alfred_ST_Play	豐饒的王子
MID_BGM_Mov_Appear_Sombre_ST_Play	邪龍尚卜爾
MID_BGM_Mov_Lueur_Die_ST_Play	神龍之死
MID_BGM_Mov_S18_ST_Play	第六片大陸
MID_BGM_Field_P00_ST_Play	假寐的決戰
MID_BGM_Field_P00_Heavy_ST_Play	假寐的決戰～昏
MID_BGM_Field_P01_Map_ST_Play	遙遠聖地
MID_BGM_Field_P01_Combat_ST_Play	遙遠聖地～閃
MID_BGM_Field_P01_Heavy_Map_ST_Play	悠遠聖地
MID_BGM_Field_P01_Heavy_Combat_ST_Play	悠遠聖地～閃
MID_BGM_Field_P02_Map_ST_Play	風起的旅途
MID_BGM_Field_P02_Combat_ST_Play	風起的旅途～華
MID_BGM_Field_P02_Heavy_Map_ST_Play	風起雲湧的旅途
MID_BGM_Field_P02_Heavy_Combat_ST_Play	風起雲湧的旅途～華
MID_BGM_Field_P03_Map_ST_Play	王室的驕傲
MID_BGM_Field_P03_Combat_ST_Play	王室的驕傲～剛
MID_BGM_Field_P03_Heavy_Map_ST_Play	王室永遠的驕傲
MID_BGM_Field_P03_Heavy_Combat_ST_Play	王室永遠的驕傲～剛
MID_BGM_Field_P04_ST_Play	淚痕～凍
MID_BGM_Field_P05_ST_Play	切斷的牽絆
MID_BGM_Field_P06_Map_ST_Play	沙塵與爛漫
MID_BGM_Field_P06_Combat_ST_Play	沙塵與爛漫～熱
MID_BGM_Field_P06_Heavy_Map_ST_Play	爛漫飛舞的沙塵
MID_BGM_Field_P06_Heavy_Combat_ST_Play	爛漫飛舞的沙塵～熱
MID_BGM_Field_P08_ST_Play	凜然飄零的送別之花
MID_BGM_Field_P09_Map_ST_Play	前去誓約之地
MID_BGM_Field_P09_Combat_ST_Play	前去誓約之地～閃
MID_BGM_Field_P12_ST_Play	最終結合～祈禱的咒文
MID_BGM_Field_P13_Map_ST_Play	刀光劍影
MID_BGM_Field_P13_Combat_ST_Play	刀光劍影～鬥
MID_BGM_Field_E01_ST_Play	異形兵
MID_BGM_Field_E02_ST_Play	神與造物
MID_BGM_Field_E03_ST_Play	蠢動的冰錐
MID_BGM_Field_E04_ST_Play	跪爬的暗音
MID_BGM_Field_E05_ST_Play	歪曲的閃光
MID_BGM_Field_S03_Map_ST_Play	覺醒的試煉
MID_BGM_Field_S03_Combat_ST_Play	覺醒的試煉～燃起
MID_BGM_Field_S04_Map_ST_Play	烈火的試煉
MID_BGM_Field_S04_Combat_ST_Play	烈火的試煉～吹翠
MID_BGM_Field_S05_Map_ST_Play	蒼炎的試煉
MID_BGM_Field_S05_Combat_ST_Play	蒼炎的試煉～勇鬥
MID_BGM_Field_S06_Map_ST_Play	風花的試煉
MID_BGM_Field_S06_Combat_ST_Play	風花的試煉～教導
MID_BGM_Field_S07_Map_ST_Play	選擇的試煉
MID_BGM_Field_S07_Combat_ST_Play	選擇的試煉～龍穿
MID_BGM_Field_S08_Map_ST_Play	聖魔的試煉
MID_BGM_Field_S08_Combat_ST_Play	聖魔的試煉～晴碧
MID_BGM_Field_S09_Map_ST_Play	聖戰的試煉
MID_BGM_Field_S09_Combat_ST_Play	聖戰的試煉～繼承
MID_BGM_Field_S10_Map_ST_Play	系譜的試煉
MID_BGM_Field_S10_Combat_ST_Play	系譜的試煉～解放
MID_BGM_Field_S11_Map_ST_Play	拂曉的試煉
MID_BGM_Field_S11_Combat_ST_Play	拂曉的試煉～救癒
MID_BGM_Field_S12_Map_ST_Play	封印的試煉
MID_BGM_Field_S12_Combat_ST_Play	封印的試煉～焰向
MID_BGM_Field_S13_Map_ST_Play	聲響的試煉
MID_BGM_Field_S13_Combat_ST_Play	聲響的試煉～守護
MID_BGM_Field_S14_Map_ST_Play	紋章的試煉
MID_BGM_Field_S14_Combat_ST_Play	紋章的試煉～星炎
MID_BGM_Field_S15_Map_ST_Play	約定的試煉
MID_BGM_Field_S15_Combat_ST_Play	約定的試煉～繫承
MID_BGM_Boss_01_Pre_ST_Play	擾亂秩序者
MID_BGM_Boss_01_Start_ST_Play	擾亂秩序者～烈
MID_BGM_Boss_02_Pre_ST_Play	睿智的暴虐者
