MID_FRIENDLIST_Vandre_TextD	【初期兵種】聖騎士\n【生日】11月26日\n【備註】第三十二代的龍之守護者。\n在浮遊島上的離宮索拉涅爾，\n負責照顧沉眠於此的\n\x0E\x06\x03\x00生活起居。
MID_FRIENDLIST_Vandre_TextC	【喜歡的事物】\n裁縫、打掃、寫作、\n水果、安靜的地方、毛線球\n【不喜歡的事物】\n奇珍異味、宴會、味道強烈的東西、\n專注時被打斷、睡過頭
MID_FRIENDLIST_Vandre_TextB	【興趣】待在安靜的場所\n【專長】編織蕾絲、製作果醬\n【經歷】來自聖地里特司的聚落，\n生於代代侍奉神龍的家族。\n在里特司，服侍於王城的神職人員\n會被分至各個聚落過著平靜的生活。\n凡德雷的能力獲得前任守護者\n高度讚賞，因此被指定為繼任者。
MID_FRIENDLIST_Vandre_TextA	【身高】190cm\n【無名指的戒圍】22號\n【個性】認真嚴格，經驗老道。\n總是默默地完成分內的工作，\n但有時也會展現親切的一面。\n將守護者的使命放在首位，\n並決心將此生奉獻給神龍。\n是軍中最擅長封蠟的人。
MID_FRIENDLIST_Vandre_TextS	【成為搭檔後】\n雖為避免公私不分，\n在眾人面前表現得一如既往，\n卻有人說凡德雷看你的視線\n好像比從前更溫柔些了。\n由於擔心傷到約定戒指，\n就算不常戴著，\n每晚仍會仔細保養。
MID_FRIENDLIST_Clan_TextD	【初期兵種】魔法師\n【生日】3月10日\n【備註】芙嵐的雙胞胎哥哥。\n為凡德雷的後繼者，\n第三十三代的龍之守護者。\n神龍\x0E\x06\x03\x00甦醒之際，\n柯嵐正隨侍在側。
MID_FRIENDLIST_Clan_TextC	【喜歡的事物】\n神龍、打掃、學習、下廚、讀書、\n醃菜、哲學書籍\n【不喜歡的事物】\n蟲子、運動、鬼故事、\n動物以外的交通工具、\n心情不好時的自己
MID_FRIENDLIST_Clan_TextB	【興趣】照顧神龍大人的生活起居\n【專長】製作醃菜、背誦詩歌\n【經歷】來自聖地里特司的聚落。\n生於神職世家，從小就時常\n進出索拉涅爾。凡德雷為柯嵐的\n遠房親戚，且十分讚賞柯嵐對\n神龍\x0E\x06\x03\x00的悉心照料，\n拔擢他成為下一任守護者。
MID_FRIENDLIST_Clan_TextA	【身高】160cm\n【無名指的戒圍】9號\n【個性】性格內斂且思慮周詳，\n但遇有興趣的事會變得十分狂熱。\n總是能掌握要領，順利完成任務。\n和芙嵐一起成立了神龍的\n粉絲後援會，並擔任會長一職。\n是軍中最擅長棋盤遊戲的人。
MID_FRIENDLIST_Clan_TextS	【成為搭檔後】\n因為擔心踰矩，在眾人面前\n還是表現得如往常一樣拘謹，\n等到兩人獨處時才會稍微主動些。\n會在獨自一人時戴上約定戒指，\n凝視戒指，細細品嘗幸福的滋味。\n希望總有一天要長得比你高，\n緊緊貼在身旁守護你。
MID_FRIENDLIST_Fram_TextD	【初期兵種】僧侶\n【生日】3月10日\n【備註】柯嵐的雙胞胎妹妹。\n為凡德雷的後繼者，\n第三十三代的龍之守護者。\n神龍\x0E\x06\x03\x00甦醒之際，\n芙嵐正隨侍在側。
