MID_WU_C_1_IN_#001	沒想到軍隊裡還會有叫人起床的任務呢。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	看來我的任務已經完成了。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	要是沒什麼事，我就先告退了。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	神龍大人，天亮了，請您起床。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	……叫不醒呢。神龍大人？\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	……還是沒醒來。難道是身體不舒服嗎……？\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	啊，您醒來了。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	貝珥大人有時也會睡得很沉……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	每次都讓我捏了一把冷汗呢。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	幸好您平安無事。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	真是一座美麗的祭壇啊……雖然對我來說有點太耀眼了。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	您起來了啊，神龍大人。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	剛才貝珥大人說很想見您喔。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	那麼，我就先告辭了……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	假如我沒有脫離四狗……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	就不會來到這裡……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	也無法看到這美麗的景色。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	只有死於非命的結局在等著我吧……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	啊……！原來您早就醒了啊。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	竟然偷聽……不……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	這是我的錯。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	當然，我不後悔自己做的決定。那麼，我先告辭了。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	祈禱……果然要在這種地方才適合呢。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	不好意思。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	今晚請容我暫時待在這裡。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	我想在這個祭壇上……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	為逝去的同胞祈禱。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	在這裡應該能傳達到吧。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	一定要傳達到啊……瑪倫。\x0E\x04\x00\x00
