MID_MSG_CC_DLC_JOB_OPEN	可以轉職為\n「附魔師」或「魔法加農炮兵」了。\n（需有各兵種的專用道具）
MID_MSG_EVIL_COMPLETE_REWARD	邪龍之章過關獎勵。
MID_DLC_News_Patch3_Title	Ver.2.0.0 更新內容
MID_DLC_News_Patch3	【擴充票】\n\n・已新增全新故事\n　過關所有戰鬥地圖後，\n　將會有新夥伴加入，\n　還可轉職成特殊兵種「附魔師」及「魔法加農炮兵」。\n\n【免費更新】\n\n・將贈送結合武器的強化材料\n　過關第四章後，進入據點即可領取。\n\n・在Nintendo eShop也可免費取得合作內容
MID_MSG_GET_ITEM_Patch3	已領取免費更新特典2。
MID_SYS_EvilMap	邪龍之章
MID_SysDialog_Move_EvilMap	前往邪龍之章
MID_MSG_Encount_EvilMap	邪龍之章已出現遭遇戰
MID_Hub_Well_GotoEvil	前往邪龍之章
MID_Hub_Well_GotoEvil_Dialog_Message	是否要開始邪龍之章？
MID_Hub_Well_GotoEvil_Dialog_Yes	開始
MID_Hub_Well_GotoEvil_Dialog_Message_After	要前往邪龍之章嗎？
MCID_E001_PREFIX	邪龍之章1
MCID_E001	異國雙龍
MCID_E001_PLACE	手鐲祭壇
MCID_E002_PREFIX	邪龍之章2
MCID_E002	動盪不安的花城
MCID_E002_PLACE	華美之園
MCID_E002_OUTLINE	神龍與愛爾、伊爾一同擊退刺客後，\n便前往費列聶王國，欲取回紋章士手鐲。
MCID_E003_PREFIX	邪龍之章3
MCID_E003	士兵們的作戰之道
MCID_E003_PLACE	威嚴之路
MCID_E003_OUTLINE	一行人讓費列聶的紋章士沉眠後，\n便前往布羅帝亞王國，欲取回新的手鐲。
MCID_E004_PREFIX	邪龍之章4
MCID_E004	王者之戰
MCID_E004_PLACE	極寒森林
MCID_E004_OUTLINE	手鐲還剩三個尚未取回。\n此時，一行人發現伊爾席翁的詭異行動。
MCID_E005_PREFIX	邪龍之章5
MCID_E005	邪龍繼承者
MCID_E005_PLACE	沙塵堡壘
MCID_E006_PREFIX	邪龍之章6
MCID_E006	七手鐲
MCID_E006_PLACE	墜落的索拉涅爾
MCID_E006_OUTLINE	愛爾與所有手鐲皆遭人奪走後，\n神龍決意前往伊爾口中的昔日浮遊島。
MID_RULE_DLC_LOSE	\x0E\x06\x03\x00、愛爾或伊爾被擊敗
MID_RULE_DLC_LOSE2	\x0E\x06\x03\x00或愛爾被擊敗
MID_RULE_E001_WIN	擊敗？？？
MID_RULE_E002_WIN	擊敗阿爾弗雷德與錫莉奴
MID_RULE_E003_WIN	擊敗帝亞曼德與史塔盧克
MID_RULE_E004_WIN	擊敗艾比與蜜絲提拉
MID_RULE_E005_WIN	擊敗伊爾
MID_RULE_E006_WIN	擊敗大邪龍伊爾
MTID_Cemetery	墓地
MTID_Dragon	邪龍陣
MPID_El	愛爾
MPID_H_El	繼承邪龍血脈的雙胞胎姐姐。\n與弟弟攜手奮戰的堅強女性。
MPID_Il	伊爾
MPID_H_Il	繼承邪龍血脈的雙胞胎弟弟。\n支持著姊姊的善良青年。
MPID_H_Il_E005	繼承邪龍血脈的雙胞胎弟弟。\n背叛姊姊與神龍後，顯露本性的青年。
MPID_Il_E006	大邪龍伊爾
MPID_H_Il_E006	繼承父王尚卜爾的遺志，\n利用七手鐲之力化為大邪龍的青年。
MPID_Rafale	拉法爾
MPID_H_Rafale	繼承邪龍血脈的青年。\n答應神龍的邀請，再次與其並肩作戰。
MPID_Selestia	賽勒斯提雅
MPID_H_Selestia	四翼的首領。\n魔龍族的後裔，情感豐富，相當為夥伴著想。
MPID_Gregory	孤雷葛里
MPID_H_Gregory_E	四翼的一員。\n性格爽朗，行動卻非常謹慎的膽小魔術師。
MPID_H_Gregory	四翼的副官。\n性格爽朗，行動卻非常謹慎的膽小魔術師。
MPID_Madeline	瑪德琳
MPID_H_Madeline	四翼的一員。\n理性且信念堅定的重裝騎士。
MPID_MorphWolf	異形狼
MPID_H_MorphWolf	邪龍用秘術製造出的異形狼。\n行動敏捷，會以尖爪與利牙發動攻擊。
MPID_MorphWolfSilver	銀異形狼
MPID_H_MorphWolfSilver	邪龍用秘術製造出的黑銀異形狼，非常罕見。\n擊倒後可獲得大量的經驗值。
MPID_MorphDragonF	異形飛龍
MPID_H_MorphDragonF	邪龍用秘術製造出的巨大異形飛龍。\n會在空中翱翔，噴出猛烈的吐息。
MPID_MorphDragonFGold	金異形飛龍
MPID_H_MorphDragonFGold	邪龍用秘術製造出的金色飛龍，非常罕見。\n擊倒後可獲得大量的金幣。
MPID_ShadowSiblings	邪龍的兄弟姊妹
MPID_H_FogatoHide	神秘的敵人。\n覬覦紋章士手鐲的刺客。
MPID_H_AlfredR	異世界的費列聶國王。\n非常好戰，殲滅敵人毫不手軟。
MPID_H_CelineR	異世界的費列聶公主。\n感情用事，對其他人非常傲慢。
MPID_H_DiamandR	異世界的布羅帝亞國王。\n優柔寡斷，懦弱又沒有信念。
MPID_H_StalukeR	異世界的布羅帝亞王子。\n自尊心很強，看不起軟弱的哥哥。
MPID_H_IvyR	異世界的伊爾席翁女王。\n迷戀高貴的自己，十分鄙視下賤的妹妹。
MPID_H_HortensiaR	異世界的伊爾席翁公主。\n因喪父之痛導致精神崩潰。
MPID_H_MisutiraR	異世界的索爾姆女王。\n嚴肅且不知變通。
MPID_H_FogatoR	異世界的索爾姆王子。\n上戰場廝殺時，也掛著笑容的享樂主義者。
MPID_alias_El	誠心的邪龍
MPID_alias_Rafale	贖罪的邪龍
MPID_alias_Selestia	全新的愛
MPID_alias_Gregory	過往的傷痕
MPID_alias_Madeline	讚頌之藍
MJID_ShadowPrincessR	邪龍之女
MJID_H_ShadowPrincessR	繼承邪龍血脈。\n手執長槍，能用龍石化成龍參戰。
MJID_ShadowLordR	邪龍之子
MJID_H_ShadowLordRE	繼承邪龍血脈。\n不善戰鬥，卻仍為了和平揮舞戰斧。
MJID_H_ShadowLordRE_E005	繼承邪龍血脈。\n顯露本性，為達目的揮舞戰斧。
MJID_H_ShadowLordR	繼承邪龍血脈。\n手執戰斧，能用龍石化成龍參戰。
MJID_ShadowDragonR	大邪龍
MJID_H_ShadowDragonR	獲得紋章士手鐲之力的邪龍。\n能發動強大的攻擊將戰場破壞殆盡。
MJID_MorphWolf	異形狼
MJID_H_MorphWolf	將世界導向毀滅的邪龍使徒。\n會用帶有詛咒的獠牙對獵物窮追不捨。
MJID_MorphFlyingDragon	異形飛龍
MJID_H_MorphFlyingDragon	將世界導向毀滅的邪龍使徒。\n所使出的邪惡吐息能將遠處的獵物一網打盡。
MJID_AvenirR	EX王室貴族
MJID_H_AvenirR	渴望爭鬥的好戰之人。\n駕馭戰馬，善於槍術。
MJID_FleurageR	EX王室貴族
MJID_H_FleurageR	渴望爭鬥的好戰之人。\n善於魔道，也能以劍戰鬥。
MJID_SuccesseurR	EX領主
MJID_H_SuccesseurR	失去榮耀並忘記騎士精神之人。\n善於劍術。
MJID_TirailleurR	EX領主
MJID_H_TirailleurR	失去榮耀並忘記騎士精神之人。\n善於弓術。
MJID_LindwurmR	EX馴獸師
MJID_H_LindwurmR	控制野獸並信仰邪龍之人。\n駕馭飛龍，善於魔法與杖術。
MJID_SleipnirR	EX馴獸師
MJID_H_SleipnirR	控制野獸並信仰邪龍之人。\n駕馭飛馬，善於魔法與杖術。
MJID_PitchforkR	EX義警隊
MJID_H_PitchforkR	藉正義之名肅清異己之人。\n善於槍術。
MJID_CupidoR	EX義警隊
MJID_H_CupidoR	藉正義之名肅清異己之人。\n駕馭戰馬，善於弓術。
MIID_ElAttack	邪惡火花
MIID_H_ElAttack	使用邪龍石力量的攻擊。\n能使對手的防禦力減半。
MIID_ElAttack2	腐壞火花
MIID_H_ElAttack2	使用邪龍石魔力的攻擊。\n能使對手的防禦力減半。\n（以物理攻擊力施展的魔法攻擊）
MIID_Evilstone	邪龍石
MIID_H_Evilstone	蘊含邪龍力量的龍石。\n能使對手的防禦力減半。
MIID_TrueEvilstone	邪龍石・滅
MIID_H_TrueEvilstone	蘊含邪龍力量的龍石。\n能使對手的防禦力減半/能攻擊遠方敵人。
MIID_Evilstone_Magic	邪龍石・魔
MIID_H_Evilstone_Magic	蘊含邪龍魔力的龍石。\n能使對手的防禦力減半。\n（以物理攻擊力施展的魔法攻擊）
MIID_Evilstone_Slayer_Horse	邪龍石・屠
MIID_H_Evilstone_Slayer_Horse	蘊含邪龍特殊力量的龍石。\n能使對手的防禦力減半/克制騎馬。
MIID_Evilstone_Slayer_Fly	邪龍石・墮
MIID_H_Evilstone_Slayer_Fly	蘊含邪龍特殊力量的龍石。\n能使對手的防禦力減半/克制飛行。
MIID_H_Liberation_E006	神龍專用。\n攻擊大邪龍伊爾時，攻擊力+15。
MIID_H_Liberation_E006_Normal	神龍專用。\n攻擊大邪龍伊爾時，攻擊力+30。
MIID_IlAttack	邪龍的強擊
MIID_H_IlAttack	從龐大身軀發出的連續長射程攻擊。
MIID_IlBeam	邪龍破・橫掃
MIID_H_IlBeam	用黑暗光束將敵人一掃而空的廣域必中攻擊。\n無視防禦力。
MIID_IlRush	破壞衝動
MIID_H_IlRush	破壞自身周圍的地形。\n不分敵我，使受到波及的單位立即死亡，\n並吸收其生命力增強自身力量。
MIID_IlAbsorp	渴求力量
MIID_H_IlAbsorp	不分敵我，使自身周圍的單位立即死亡，\n並吸收其生命力增強自身力量。
MIID_IlSummon	召喚漩渦
MIID_H_IlSummon	在周圍創造出能召喚異形兵的漩渦。
MIID_MiasmaBreath	瘴氣吐息
MIID_H_MiasmaBreath	充滿瘴氣的吐息攻擊。\n無視防禦力/賦予地形「瘴氣」的效果。
MIID_MiasmaBall	瘴氣團
MIID_H_MiasmaBall	長射程的瘴氣攻擊。\n無視防禦力/賦予地形「瘴氣」的效果。\n使對方陷入冰封與沉默狀態。
MIID_ElBento	愛爾便當
MIID_H_ElBento	愛爾塞滿心目中所有美味料理製成的便當。\n食用後可回復20HP。
MIID_RafaleBento	拉法爾便當
MIID_H_RafaleBento	拉法爾充滿自信地裝好成功料理的便當。\n食用後可回復20HP。
MIID_SelestiaBento	賽勒斯提雅便當
MIID_H_SelestiaBento	賽勒斯提雅用來不及吃的料理製成的便當。\n食用後可回復20HP。
MIID_GregoryBento	孤雷葛里便當
MIID_H_GregoryBento	孤雷葛里溫柔地裝好成功料理的便當。\n食用後可回復20HP。
MIID_MadelineBento	瑪德琳便當
MIID_H_MadelineBento	瑪德琳用反覆摸索做出的拿手菜製成的便當。\n食用後可回復20HP。
MIID_EnchantSeal	神秘包包
MIID_H_EnchantSeal	可轉職成附魔師。
MIID_MageCannonSeal	魔法大炮
MIID_H_MageCannonSeal	可轉職成魔法加農炮兵。
MSID_PrivateSkill_El	守護者
MSID_H_PrivateSkill_El	拉法爾受到敵人攻擊時\n必殺+10，效果持續1回合
MSID_H_PrivateSkill_El_E	伊爾受到敵人攻擊時\n必殺+10，效果持續1回合
MSID_PrivateSkill_Rafale	爭強好勝
MSID_H_PrivateSkill_Rafale	周圍2格內的我方單位\n打倒敵人時，必殺+10\n效果持續1回合
MSID_PrivateSkill_Il	自卑情結
MSID_H_PrivateSkill_Il	周圍2格內的我方單位\n打倒敵人時，必殺+10\n效果持續1回合
MSID_PrivateSkill_Selestia	開心果
MSID_H_PrivateSkill_Selestia	打倒敵人時，周圍2格內的我方單位\n命中+20，效果持續1回合
MSID_PrivateSkill_Gregory	生存戰略
MSID_H_PrivateSkill_Gregory	自身周圍3格內的敵方單位\n多於我方單位時，回避+20
MSID_PrivateSkill_Madeline	理想中的騎士
MSID_H_PrivateSkill_Madeline	受到敵人攻擊時\n若有我方單位與自身相鄰\n所受傷害-2
MSID_PrivateSkill_Alfred_E	保身
MSID_PrivateSkill_Celine_E	戰場之花
MSID_PrivateSkill_Diamand_E	猶豫不決
MSID_PrivateSkill_Staluke_E	自命不凡
MSID_PrivateSkill_Ivy_E	居然傷到我了？
MSID_PrivateSkill_Hortensia_E	秘密支援
MSID_PrivateSkill_Misutira_E	王者尊嚴
MSID_PrivateSkill_Fogato_E	殺戮者
MSID_JobSkill_MorphFlyingDragon	瘴氣領域
MSID_H_JobSkill_MorphFlyingDragon	我軍行動階段開始時\n對自身周圍2格的地形賦予「瘴氣」效果
MSID_JobSkill_ShadowPrincessR	抑制紋章氣
