MID_WU_C_1_IN_#001	這裡的美景配上美食，想必會讓食物更加美味吧……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	早安……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	請問您要在樓下用膳……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	還是需要我把早餐端過來呢？\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	嗯，看來還有些時間。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	我先來嘗嘗這些剛採收下來的香草吧……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	嗯……這株有點辣呢……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	這株則是帶著甜到刺鼻的香味……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	神龍大人。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	我想聽聽您的意見……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	您比較喜歡哪株香草呢？\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	先試吃一下這些香草後再告訴我吧……\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	有沒有什麼新的味道呢……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	神龍大人……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	我的人生就是不斷地追求嶄新的味覺體驗……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	這房間裡有什麼東西能讓我嘗嘗嗎……？\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	唉，這裡好像沒有能當成食材的東西。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	其他東西的話……嗯，那根柱子和那張床……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	雖然沒辦法吃，但口感真是令人好奇。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	那雪白的顏色，感覺很美味呢……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	那個……不好意思，我能嘗嘗這張床嗎？\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	嗯？我是認真的喔……\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	我聽說神龍大人有時會賴床……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	不過，看來今天沒有呢……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	我這就去為您準備熱騰騰的早餐。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	嗯，看來今天正好讓我碰上了呢。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	那麼……我就用料理的香味讓他醒來吧。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	切好食材……用火煮透後再調味一下……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	這樣就差不多了……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	在睡夢中聞到陣陣香氣……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	再加上做菜的聲音……不錯吧？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	不過……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#005	請您先擦一下口水吧……\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	嗯嗯……今天這裡也飄著一股神秘的香味呢……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	這股香味是從樓下傳來的嗎……？\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	不好意思，我先失陪了……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	我得去廚房看看今天的菜單……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	看來這香味的源頭並不是神龍大人的衣服呢。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	就算是神龍大人……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	也不會每次都把料理打翻吧……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	那麼，究竟是從哪裡傳來的……？\x0E\x04\x00\x00
