MID_WU_C_1_IN_#001	神龍大人！啊，在、在睡覺……\x0E\x04\x00\x00
MID_WU_C_1_IN_#002	真美……！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	對不起，我吵醒您了嗎……！？\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	早安，您今天也很帥氣呢！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	好久沒有像這樣看著神龍大人的睡臉呢。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	嗯，看起來還是一樣神聖。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	對了，來例行膜拜一下吧……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	啊！早安。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	嘿嘿……這讓我想起了您甦醒時的情景呢。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	呃，今天負責叫醒您的是……\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	第三十三代龍之守護者──柯嵐……！\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	啊，您已經醒來了嗎！？\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	一大早就跟您四目相交，我簡直要開心到昏倒了！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	身為一位守護者，究竟該如何叫醒神龍大人呢？\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	直接叫醒他就可以了嗎？\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	去問凡德雷伯父的話，不知道會不會被罵呢……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	哇，對不起。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	沒想到會以這種方式叫醒您……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	不過，請容我向您問一聲好。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	神龍大人，早安。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	我是柯嵐。神龍大人，我要進來囉。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	您昨晚睡得還好嗎？\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	那個，您之前怕我太累……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	所以命令我好好休息對吧……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	託您的福，我現在很有精神喔。嘿嘿。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	……您有聽見我剛才說的話嗎？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	啊，沒什麼，您不用放在心上。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	早安。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	小聲點～小聲點～不能吵醒神龍大人……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	對不起……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	我原本打算趁您睡覺時打掃一下房間……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	沒想到會吵醒您。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	好，趁現在打掃一下房間吧。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	順便也裝飾一下床邊好了。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	把花束像這樣擺著……嗯，跟神龍大人真配！\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	咦！您是什麼時候醒來的！？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	沒事，我只是想打掃房間，不好意思吵醒您了。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	神龍大人……是我，柯嵐。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	啊，您醒來了啊。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	今天我們也一起加油吧！\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	我不會再勉強自己了。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	畢竟我不能讓最喜歡的神龍大人擔心嘛。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	……您永遠都是我心中最重要的人喔。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	您其實有聽到剛才的話吧？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	神龍大人在想什麼……我都知道喔。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	每次進來這裡都覺得很緊張呢……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	您剛才在裝睡吧！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	真是的……我已經夠緊張了，不要再捉弄我啦！\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	呵呵，以前每天都會看到這張睡臉……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	那可是守護者的特權呢。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	當時還很好奇您的眼睛會是什麼顏色……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	您醒來了啊，神龍大人。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	我龍之守護者柯嵐……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	今天也最喜歡神龍大人了！\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	神龍大人，您、您的搭檔柯嵐來叫您起床囉……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	嘿嘿，您是因為我來了才急著起來嗎？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	我也很想快點見到您呢。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	我直到現在都還像在做夢一樣。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	沒想到我會成為神龍大人最在乎的人……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	還收到了您最珍惜的「約定戒指」。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	能夠與您互通心意……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	是我一生中最大的驕傲。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	您在我心中永遠都是第一……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	我最喜歡您了，神龍大人。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	早安。來吧，牽著我的手。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	就跟神龍大人甦醒的那天一樣……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	今後也讓我護送您吧。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	看來我也習慣叫神龍大人起床了……現在一點都不緊張呢。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	啊……您可以再睡一會兒喔。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	畢、畢竟……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	在這裡我就能獨占神龍大人啊。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	我一直都很喜歡您的這張睡臉。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	當初對您的嚮往，如今已化為另一種情意……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	我一定會先您而去吧。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	但請不要忘記……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	您是我最重視的人。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	您今天也早早起床了呢。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	時間還早，不用急著出發喔……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	就讓我再獨占神龍大人一下子吧。\x0E\x04\x00\x00
