MID_WU_C_1_IN_#001	打擾了。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	沒想到您能這麼快就醒來……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	這下就算受到敵人襲擊也不用擔心了呢。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	那我就先告辭了。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	總覺得進神龍大人寢室有些不好意思……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	但既已受命，那就得做好。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	……神龍大人、神龍大人。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	或許在我的呼喚中醒來，\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	會讓您的心情不太愉快……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	還請您原諒。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	「騎士踏入了祭壇……」\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	「神龍聽見了騎士的腳步聲，立刻從睡夢中醒了過來……」\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	早安，神龍大人。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	「神龍橫臥於祭壇之上，呼吸平穩綿長。」\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	「騎士突然狠狠摔了一跤，擾了神龍的安眠……」\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	……這發展行不通吧。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	「騎士小心翼翼地喚了一聲，」\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	「希望能喚醒神龍……」\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	早安，您睡得還舒適嗎？\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	真安靜……似乎很適合集中精神冥想呢。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	抱歉，攪擾了寧靜的時光。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	時間已經到了，請您盡速打理好。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	還有點時間，不如來冥想吧。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	不行……無法排除雜念……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	我想到下部喜劇的靈感了……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	您醒了嗎？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	那我就先告退了。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	我得趁忘記前，趕緊把構想寫下來……\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	「騎士聽見了神龍睡夢中平穩的呼吸聲……」\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	昨天的夕陽就和神龍大人說得一樣，非常美麗……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	我想今天一定會是好天氣。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	神龍大人真的很溫柔……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	先前您陪在我身邊時，\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	讓我明白了這點……我得找機會回報您呢……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	昨晚您睡得還好嗎……？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	您可別光顧著擔心夥伴，\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	也要好好照顧自己喔……那我先失陪了……\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	想不到，在索拉涅爾會發生這麼有趣的事……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	神龍大人，請聽我說。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	我在來這裡的路上，踩到水果皮摔了一跤……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	神龍大人也請務必留心……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	來這裡前發生的趣事，\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	一直在我腦海裡揮之不去……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	噗、呵呵……糟糕，在神龍大人面前可不能……可是……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	請原諒我的無禮，竟以嘻笑聲來喊醒您……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	就在剛才，我踩到水果皮摔了一跤……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	實在是摔得太精采了，連我自己都忍不住……呵呵呵。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	我在時間到前都堅守在門前，沒有任何異狀……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	呀！您已經醒了嗎？\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	那您只要說一聲，我便會離開……\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	您想和我聊聊……？\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	這是我的榮幸。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	前陣子讓您擔心了，真的很抱歉。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	您說，受我過去的恩怨牽連也沒關係……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	那番話……我真的很高興……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	若神龍大人有需要，請儘管仰賴我吧。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	我「鐵壁潔德」……必會助您一臂之力……\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	「騎士來到了珍視之人的寢室……」\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	「他心愛的搭檔很快便睜開了雙眼……」\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	呵呵，您聽到腳步聲就知道是我了嗎？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	若真是那樣，就太令人高興了……早安。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	「果不其然，他的搭檔一如往常地躺在祭壇上……」\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	呵呵，我真喜歡這幅畫面。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	不管看幾次都不會膩。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	道盡千言萬語也無法詮釋這幅美景。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	……不過沒關係，只要您在我身邊，\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	我有朝一日定能編織出最完美的話語。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	呵呵，不好意思。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	我忍不住唇角的笑意，並不是因為什麼趣事。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	我只是覺得，能成為您的搭檔……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	我很幸福。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	每次來到這裡……我的嘴角便會不自覺地上揚……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	……我只要看見您，\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	就再也無法掩飾了……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	原來除了好笑的事情，\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	幸福……也同樣會讓人露出笑容呢……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	我最近變得很奇怪……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	不構思喜劇的時候也會露出笑容……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	尤其是看見「約定戒指」的時候。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	而且再怎麼做冥想也靜不下心來……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	只要想起您，\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	我就覺得……自己成了全世界最幸福的人。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	早安。您聽見剛才那些話了嗎……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	還真有點難為情呢。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	我已經無法再掩藏……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	自己對您的傾慕了……\x0E\x04\x00\x00
