MID_WU_C_1_IN_#001	早安，神龍大人。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	您起得真早呢。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	我早上常常會起不來……\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	看來我得多跟神龍大人學習一下才行，沒錯。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	這房間白得讓人有些發慌呢……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	我覺得黑色的房間……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	比較能襯托出神龍大人的帥氣，沒錯。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	那個……看來我說錯了。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	看到神龍大人醒來的樣子後……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	我覺得還是純白的房間最適合您了。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	今天的天氣稍微有點悶熱呢。\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	不知道神龍大人睡得好不好。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	哎呀，果然馬上就醒來了呢。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	天氣一熱就會跑出許多蟲子……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	您可要多多注意喔，沒錯。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	哎呀，是吸血的蟲子！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	雖然我很喜歡昆蟲……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	但也不能眼睜睜地看著神龍大人被吸啊……好，趁現在……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	看招！去死吧！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	好耶，幹掉了！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	……啊……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	神龍大人，你……您醒來了呢……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	是的……我剛才正在溫柔地趕走蟲子……\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	我聽說這裡會鬧鬼……\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	哎呀，這不是神龍大人的房間嗎？\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	那個，不好意思吵醒您了。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	我聽說這裡會鬧鬼……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	看來不過是謠言罷了。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	那麼，我就先告辭了……咦？\x0E\x04\x00\x00
MID_WU_B_1_SOON_#005	您說很可怕，要我留下來陪您嗎……？\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	什麼都沒出現啊……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	該不會是把床簾錯看成是鬼了吧？\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	……哦！？那裡有一隻巨大的蜘蛛！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	你這傢伙真可愛啊！好乖好乖！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	……咳咳，神龍大人。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	深夜叨擾真是不好意思。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	呵呵，雖然傳言是假……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	卻讓我遇上了一場美麗的邂逅呢，沒錯。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	那麼，今天我們就來繼續學習打架的方法吧。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	哇……！\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	有了這驚人的反應力……\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	就算在熟睡時被偷襲也能馬上反擊呢，沒錯。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	嗯，這樣我就放心了。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	嗯……沒想到我都靠這麼近了還不醒來。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	要是碰上刺客偷襲可就不好了……\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	我得想個辦法讓神龍大人在遇險時能即時反應才行。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	神龍大人，您也睡得太熟了吧！\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	看來只能讓您提升攻擊力了……\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	一定要練到一擊必殺的程度才行，沒錯！\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	可惡……敵人真是越來越強了……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	早安。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	那個，我增加了鍛鍊的強度喔。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	等老娘變強後就能把敵人打得滿地找牙……\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	咳咳……我是說打敗敵人！\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	必須讓自己能在危急時刻一拳打倒敵人才行……\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	老娘會保護公主殿下跟神龍大人！\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	就像這樣！喝啊！哈啊！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	……啊，神龍大人。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	那個，您是什麼時候醒來的呢？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	哎呀，一開始就醒了……？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	呵呵，那還真是讓您見笑了……\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	神龍大人，不好意思在休息時間打擾您。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	哦？今天的反應很快呢。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	看來您變得敏銳了不少，真是厲害啊。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	我還會再來考驗您的反應力喔。那麼，先失陪了。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	我又收到密探送來的信了。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	為了慎重起見，我還是在這裡拆吧……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	嗯，原來如此。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	果然還是沒有父母的下落呢……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	抱歉吵醒您了……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	之前您說要幫我尋找雙親的下落，特地來向您報告。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	當時神龍大人的話讓我非常感動呢。\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	我的搭檔，我來為您送上早晨的祝福囉。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	怎、怎麼了？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	就算您叫我不要這麼見外……\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	我還是想在喜歡的人面前表現出淑女的一面。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	這就是所謂的少女心喔，沒錯。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	呼……既然收到了神龍大人的戒指……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	我就得讓自己變得更淑女一點才行。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	不過，我們也只能在早上的這段時間獨處……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	稍微撒嬌一下應該沒關係吧？\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	畢竟神龍大人是個心胸寬大之人……\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	一定會願意接納我的一切吧？\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	請讓我再撒嬌一下吧。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	那個，告訴您一個小秘密……\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	我只要感到幸福，就會變得更強喔。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	早安。\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	不知道神龍大人今天的反應力如何呢？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	您醒得真快呢。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	真不愧是我的搭檔。不過……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	您偶爾也可以裝睡一下……\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	讓我多待在您的身邊一會……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	對了，在我們成為搭檔時……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	您說就算我們吵架吵到打起來，您也會躲開我所有的攻擊。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	不過，我們連一次架都沒吵過呢。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	就讓我們像這樣一直相親相愛下去吧。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	畢竟我的力量……\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	是為了守護您而生的啊。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	呵呵，我早就知道您醒了。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	請不要小看我的觀察力喔……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	只要關係到我喜歡的人……\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	任何事情都瞞不了我，沒錯。\x0E\x04\x00\x00
