MID_WU_C_1_IN_#001	神龍大人，打擾了。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	你醒了？\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	看來你不需要我喊你起床呢，是我多事了。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	睡得真熟。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	看你睡得這麼舒服，\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	我都有點想睡了……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	哈啊……不行，我怎能在神聖的祭壇……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	唔，早啊。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	我差點就要跟你一起睡著了……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	幸好你起床了。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	是我，帝亞曼德。我來叫你起床了。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	沒想到你能察覺我的氣息，\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	馬上清醒過來……\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	果真了得。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	該怎麼叫他起床好呢？\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	看他睡得這麼香，\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	大聲叫他實在也令人於心不忍。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	你起來啦？\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	抱歉啊，我捨不得叫醒你……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	所以就等你睡到自然醒了，早安。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	神龍大人，關於今天的作戰會議……\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	啊，還在睡嗎？\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	你要是累了就好好休息。\x0E\x04\x00\x00
