MID_Hub_ThisTime	目前時段
MID_Hub_Time_Morning	\x0E\x08\x02\x10\x0EMorning早晨
MID_Hub_Time_Noon	\x0E\x08\x02\x08\x06Day白天
MID_Hub_Time_Evening	\x0E\x08\x02\x10\x0EEvening傍晚
MID_Hub_Time_Night	\x0E\x08\x02\x0C\nNight夜間
MID_Hub_Move	前往
MID_Hub_Enter	進入
MID_Hub_Talk	對話
MID_Hub_Check	查看
MID_Hub_Ring_Cleaning_Brush	研磨
MID_Hub_Ring_Cleaning_BrushStrong	用力研磨
MID_Hub_Ring_Cleaning_Stop	結束
MID_Hub_Unknown	？？？
MID_Hub_WeaponShop	武器店
MID_Hub_ItemShop	道具店
MID_Hub_Blacksmith	鍛造店
MID_Hub_AccessoryShop	裝飾品店
MID_Hub_Mascot	神秘祭壇
MID_Hub_Mascot_After	\x0E\x06\x05\x00的祭壇
MID_Hub_FortuneStore	占卜小屋
MID_Hub_FreeMarket	跳蚤市場
MID_Hub_Photoshop	活動記錄館
MID_Hub_amiibo	amiibo SPOT
MID_H_Hub_amiibo	請選擇欲採取的行動。
MID_Hub_amiibo_Read	讀取
MID_Hub_amiibo_Accessory_Trade	交換服裝
MID_Hub_amiibo_Music_Trade	交換樂曲
MID_Hub_Animal	動物小屋
MID_Hub_Here_Unit	附近的人物
MID_Hub_Area_List	區域一覽
MID_Hub_Area_News	通知
MID_Hub_Area_News_Nothing	沒有任何通知
MID_Hub_Area_Open	NEW
MID_Hub_Area_NewItem	新商品進貨
MID_Hub_Area_NewSystem	功能解鎖
MID_Hub_Area_NewLevel	新增難度
MID_Hub_Area_Count	還剩\x0E\x01\x00\x00次
MID_Hub_Area_NewStage	新增連戰地圖
MID_Hub_Next	前往下個目的地
MID_Hub_Next_Move	前往
MID_Hub_Next_Confirm	要前往下個目的地嗎？
MID_Hub_Next_Confirm_Where	要前往哪裡呢？
MID_Hub_Next_Confirm_Solanel	前往索拉涅爾
MID_Hub_Next_Confirm_Gmap	前往世界地圖
MID_Hub_Next_Go	前往
MID_Hub_Confirm_Cancel	留在原地
MID_Hub_Gmap	前往世界地圖
MID_Hub_Gmap_Confirm	要前往世界地圖嗎？
MID_Hub_M026	前往最終決戰
MID_Hub_Solanel	索拉涅爾
MID_Hub_OtherWorld_Confirm	要前往「異界之門」嗎？
MID_Hub_OtherWorld_Go	前往
MID_Hub_MyRoom	我的房間
MID_H_Hub_MyRoom	神龍專用的寢室。\n在這裡能回顧遊戲中的點滴或休息片刻。
MID_Hub_GodRoom	紋章士之間
MID_H_Hub_GodRoom	保管已獲得之紋章士戒指\x0E\x01\x08\x00的房間。\n在此能繼承紋章士的特技或精煉牽絆戒指。
MID_Hub_Cafe	開放式茶座
MID_H_Hub_Cafe	附有餐廳的公共休閒空間。\n在此能向掌廚的人點餐，與喜歡的夥伴一起享用。
MID_Hub_Arena	鍛鍊之間
MID_H_Hub_Arena	與外界隔絕的異世界空間。\n在此能與夥伴或紋章士一同透過訓練獲取經驗值。
MID_Hub_Arena_Closed	門緊閉著……
MID_Hub_Tower	試煉別屋
MID_H_Hub_Tower	位於海角的一座小別屋。\n在此能於短時間內穿越時空，挑戰各種試煉。
MID_Hub_CentralStores	入口
MID_H_Hub_CentralStores	進出索拉涅爾的入口。\n是商店林立的中央廣場。
MID_Hub_Poolside	泳池邊
MID_H_Hub_Poolside	優雅的私人水池。\n戰鬥之餘，夥伴們會聚在這裡休息。
MID_Hub_Orchard	果樹園
MID_H_Hub_Orchard	一座小型農場。\n在此能採集到於開放式茶座調理時所需的食材。
MID_Hub_Pond	湧泉池畔
MID_H_Hub_Pond	一座神奇的池塘。\n棲息著各種魚類和許多其他生物。
MID_Hub_TrainingSpot	後院
MID_H_Hub_TrainingSpot	位於鬧區外的寧靜庭院。\n可以在這裡和夥伴一同特訓或參加各種有趣的挑戰。
MID_Hub_Farm	牧場
MID_H_Hub_Farm	開放式空間、適合放養的廣場。\n用於管理在艾雷歐斯大陸發現的動物。
MID_Hub_GoodViewSpot	眺望之丘
MID_H_Hub_GoodViewSpot	視野遼闊，適合眺望天空的高地。\n十分安靜且清幽的場所。
MID_Hub_Cave	鐘乳洞
MID_H_Hub_Cave	貫穿索拉涅爾地底的神秘洞窟。\n裡面十分涼爽，設有不知祭祀何者的祭壇。
MID_Hub_MyRoom_Chest	我的櫃子
MID_Hub_H_MyRoom_Chest_Nothing	這個櫃子似乎能用來保管珍貴物品。
MID_Hub_H_MyRoom_Chest_Ring_PickUp	櫃子中放有「約定戒指」。\n是否要取出？
MID_Hub_MyRoom_Chest_Ring_PickUp	（在我的床上休息後，\n索拉涅爾中出現的夥伴會有所變更。\n找不到想送出戒指的對象時，不如試試吧）
MID_Hub_H_MyRoom_Chest_Ring_PickUp_Yes	取出戒指
MID_Hub_H_MyRoom_Chest_Ring_Return	是否要將戒指收到櫃子中？
MID_Hub_H_MyRoom_Chest_Ring_Return_Yes	收起戒指
MID_Hub_MyRoom_Bed	我的床
MID_Hub_MyRoom_Bed_TitleHelp	請選擇欲採取的行動。
MID_Hub_MyRoom_MovieChoice	請選擇要播放的影片。
MID_Hub_MyRoom_SoundChoice	請選擇要播放的音樂。
MID_Hub_MyRoom_SoundChoice_Stopping	未在播放
MID_Hub_MyRoom_SoundChoice_Playing	正在播放：\x0E\x01\x00\x00
MID_Hub_Bed_Sleep	休息
MID_Hub_Bed_Sleep_CameHere	好像有人來了……
MID_Hub_Bed_Sleep_Guide	要躺在床上休息片刻嗎？\n（會稍微推進索拉涅爾的時間）
MID_Hub_Bed_Sleep_Yes	休息
MID_Hub_Bed_Recall	回憶
MID_Hub_Bed_Recall_Wakeup	喚醒對話
MID_Hub_Bed_Recall_Wakeup_List	喚醒對話一覽
MID_Hub_Bed_Recall_Movie	影片鑑賞
MID_Hub_Bed_Recall_MovieList	影片一覽
MID_Hub_Bed_Recall_Music	音樂鑑賞
MID_Hub_Bed_Difficulty_Change	更改難度
MID_Hub_Bed_Difficulty_Change_Confirm	是否更改遊戲難度？\n（僅限更改為低難度，\n更改後無法恢復成原本的難度）
MID_Hub_Bed_Difficulty_Change_Before	目前的難度
MID_Hub_Bed_Difficulty_Change_After	更改後的難度
MID_Hub_Bed_Difficulty_Change_Yes	更改
MID_Hub_Bed_Difficulty_Change_Dialog	已將難度更改為「\x0E\x01\x00\x00」。
MID_Hub_Bed_Difficulty_Change_NG	難度為普通時無法更改。
MID_Hub_MyRoom_Piano	我的鋼琴
MID_Hub_MyRoom_Piano_Release	現在可以使用據點內\n我的房間裡的鋼琴了！
MID_Hub_MyRoom_Piano_Confirmation	可觀看製作人員名單
MID_Hub_MyRoom_Piano_Confirmation_Yes	觀看
MID_Hub_Talk_Gift	贈送禮物
MID_Hub_Talk_PromisedRing	約定戒指
MID_Hub_Talk_Fishing	釣魚
MID_Hub_Talk_DragonRide	飛龍射手
MID_Hub_Talk_MuscleExercises	肌肉體操
MID_Hub_Talk_Gift_PickUp	請選擇禮物。
MID_Hub_Talk_Gift_Confirmation	要贈送「\x0E\x01\x00\x00」嗎？
MID_Hub_Talk_Gift_Yes	贈送
MID_Hub_Mascot_Where	有個神秘的祭壇……
MID_Hub_Mascot_Spot	\x0E\x06\x05\x00
MID_Hub_H_Mascot_Spot	請選擇照顧的項目。
MID_Hub_Mascot_Name	請替索拉涅爾的守護神取個名字。
MID_Hub_Mascot_Feeding	餵食
MID_Hub_Mascot_FoodChoice	請選擇要餵的食物。
MID_Hub_Mascot_FoodChoice_Nothing	未持有任何食材。
MID_Hub_Mascot_Gift_Confirmation	是否要餵食\x0E\x01\x00\x00？
MID_Hub_Mascot_Stroking	撫摸
MID_Hub_Mascot_Accessories	換裝
MID_Hub_Mascot_Accessories_Help	請選擇要更改的部分。
MID_Hub_Mascot_Accessories_Choice	請選擇要配戴的裝飾品。
MID_Hub_Mascot_Accessories_Parts	裝飾品
MID_Hub_Mascot_Accessories_Head	頭部
MID_Hub_Mascot_Accessories_Tail	尾巴
MID_Hub_Mascot_Accessories_Color	改變顏色
MID_Hub_Mascot_Accessories_Color_Choice	請選擇領巾的顏色。
