MID_WU_C_1_IN_#001	打擾了！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	神龍大人起得真早呢。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	這可是一件好事喔。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	今天的天氣很適合鍛鍊身體呢。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	別再浪費時間睡覺了。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	來吧，讓全身的肌肉動起來……！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	先向眼皮的肌肉打聲招呼吧。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	今天先叫醒神龍大人再去鍛鍊吧。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	哦，您能這麼快起床真是太好了。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	我接下來還要去跑步，先告辭了。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	感覺全身的肌肉都在喊著想快點運動呢。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	請恕我失禮了……\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	哼、呼、哈，感覺不錯……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	……呼。哎呀，神龍大人。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	您是什麼時候醒來的？\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	真是一個舒服的早晨呢。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	今天我也來陪您迎接健康的一天囉。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	您一下子就醒來了呢……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	難道說神龍大人睡得很淺嗎？\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	那麼……該怎樣叫醒他才好呢。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	神明的身體可不能隨便亂碰……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	對了，把這張床……嘿！！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	啊，抬不動……！\x0E\x04\x00\x00
