MID_WU_C_1_IN_#001	可愛的羅薩德來叫您起床囉！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	神龍大人，您醒得真快！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	跟我一樣呢，真開心！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	哦？真是美麗的睡臉啊。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	機會難得……\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	就畫下來當作紀念吧。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	這樣這樣……嗯！畫好了！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	早安。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	嗯？您說這張畫嗎？\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	因為神龍大人的睡臉實在太美了，我一不小心就……\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	之後我會貼在露天茶座那邊喔～\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#005	咦？不行嗎……？\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	打擾囉……\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	可愛的羅薩德悄悄潛入神龍大人的寢室了～\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	啊……早安～\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	啊哈哈，看來我被發現了呢。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	那驚喜就留到下次吧，再會～\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	好～趁現在～\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	緞帶、鮮花、荷葉邊和鈴鐺！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	……好像不夠震撼，換成鐘好了。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	感覺不錯耶，來敲敲看吧！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	哇喔，比想像中還大聲呢……！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	對不起，神龍大人。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	我只是想讓您有個愉快的早晨……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	我馬上就整理乾淨喔～\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	神龍大人～我有件事情想跟您商量。\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	我的飛龍夥伴小卡米拉……！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	事情是這樣的……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	我的夥伴小卡米拉最近有些睡眠不足～\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	神龍大人平時都睡很好吧？\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	可以給我一些建議嗎？\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	啊，還在睡呢……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	神龍大人好像都不會失眠耶……\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	他是不是和我一樣每天都睡得甜甜的呢？\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	……呵呵，睡相真可愛～。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	不好意思吵醒您了。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	那個，我的夥伴小卡米拉……\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	半夜總是睡得很不安穩。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	神龍大人也是龍吧……您知道是為什麼嗎？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#005	咦？純粹是牠睡相不好……？\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	我來叫您起床囉～嗯，睡得真香啊～\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	您醒啦，太好了～\x0E\x04\x00\x00
